PAIR_ID	n_snippy	n_noref	n_mask
GP-0801	39	27	2
GP-0802	60	47	19
GP-0803	44	31	2
GP-0804	209	197	100
GP-0805	204	191	102
GP-0806	29	16	1
GP-0807	36	24	3
GP-0808	26	15	0
GP-0809	26	13	2
GP-0810	42	28	1
GP-0811	50	37	18
GP-0812	85	63	56
GP-0813	139	107	63
GP-0814	116	86	54
GP-0815	82	82	82
GP-0816	67	67	66
GP-0817	66	66	66
GP-0818	27	21	15
GP-0819	41	21	16
GP-0820	39	10	7
GP-0821	27	9	8
GP-0822	62	57	48
GP-0823	117	109	87
GP-0824	69	61	32
GP-0825	60	53	34
GP-0826	72	66	61
GP-0827	68	61	50
GP-0828	50	42	34
GP-0829	31	25	14
GP-0830	38	31	27
GP-0831	132	120	91
GP-0832	68	57	43
GP-0833	89	79	71
GP-0834	108	99	94
GP-0835	103	92	83
GP-0836	91	81	70
GP-0837	28	19	12
GP-0838	81	70	58
GP-0839	70	63	54
GP-0840	88	81	73
GP-0841	39	6	2
GP-0842	12	8	3
GP-0843	14	10	6
GP-0844	30	27	19
GP-0845	12	8	4
GP-0846	36	33	27
GP-0847	36	33	31
GP-0848	85	82	76
GP-0849	84	80	72
GP-0850	11	8	4
GP-0851	7	3	0
GP-0852	14	11	5
GP-0853	14	10	6
GP-0854	15	12	5
GP-0855	25	22	18
GP-0856	59	30	23
GP-0857	66	37	31
GP-0858	58	28	23
GP-0859	75	42	37
GP-0860	21	10	3
GP-0861	22	12	8
GP-0862	153	118	85
GP-0863	90	56	37
GP-0864	117	86	66
GP-0865	133	104	88
GP-0866	114	86	77
GP-0867	117	86	71
GP-0868	130	96	74
GP-0869	64	29	11
GP-0870	101	69	50
GP-0871	102	68	48
GP-0872	115	81	63
GP-0873	65	60	27
GP-0874	64	59	30
GP-0875	72	67	35
GP-0876	121	115	80
GP-0877	61	56	24
GP-0878	25	21	16
GP-0879	59	53	44
GP-0880	54	48	42
GP-0881	63	58	28
GP-0882	60	55	25
GP-0883	67	62	28
GP-0884	65	60	29
GP-0885	70	64	30
GP-0886	69	63	33
GP-0887	16	14	1
GP-0888	24	11	6
GP-0889	25	13	9
GP-0890	30	15	8
GP-0891	59	45	37
GP-0892	93	74	31
GP-0893	93	73	34
GP-0894	97	78	38
GP-0895	138	120	81
GP-0896	90	71	29
GP-0897	46	26	15
GP-0898	84	64	48
GP-0899	83	63	47
GP-0900	81	63	32
GP-0901	88	68	30
GP-0902	86	68	32
GP-0903	86	68	34
GP-0904	97	77	34
GP-0905	94	75	37
GP-0906	108	95	76
GP-0907	111	98	80
GP-0908	104	93	76
GP-0909	61	49	44
GP-0910	61	49	46
GP-0911	17	4	0
GP-0912	109	96	78
GP-0913	107	94	75
GP-0914	109	95	77
GP-0915	107	93	76
GP-0916	111	97	80
GP-0917	83	81	59
GP-0918	39	37	31
GP-0919	22	20	13
GP-0920	39	37	28
GP-0921	43	41	35
GP-0922	48	46	35
GP-0923	48	46	41
GP-0924	79	77	58
GP-0925	9	3	0
GP-0926	98	96	84
GP-0927	101	99	91
GP-0928	68	67	58
GP-0929	76	74	64
GP-0930	86	85	77
GP-0931	73	71	64
GP-0932	52	50	42
GP-0933	73	72	67
GP-0934	67	65	57
GP-0935	62	61	54
GP-0936	44	42	37
GP-0937	80	78	69
GP-0938	99	93	83
GP-0939	101	94	82
GP-0940	84	76	65
GP-0941	81	74	65
GP-0942	83	75	69
GP-0943	91	83	78
GP-0944	81	73	66
GP-0945	68	61	55
GP-0946	80	72	65
GP-0947	73	66	58
GP-0948	69	61	54
GP-0949	52	45	40
GP-0950	82	75	66
GP-0951	6	0	0
GP-0952	43	41	37
GP-0953	12	12	9
GP-0954	17	11	9
GP-0955	95	49	37
GP-0956	62	44	20
GP-0957	40	22	10
GP-0958	80	17	11
GP-0959	49	25	21
GP-0960	72	32	22
GP-0961	51	13	1
GP-0962	270	211	202
GP-0963	246	202	194
GP-0964	256	207	197
GP-0965	110	88	61
GP-0966	80	60	43
GP-0967	85	60	46
GP-0968	69	41	26
GP-0969	65	39	25
GP-0970	82	57	36
GP-0971	77	50	25
GP-0972	63	36	20
GP-0973	52	27	9
GP-0974	50	25	9
GP-0975	49	24	8
GP-0976	44	19	3
GP-0977	89	64	43
GP-0978	73	47	35
GP-0979	63	37	19
GP-0980	35	12	3
GP-0981	77	52	35
GP-0982	46	18	5
GP-0983	99	73	45
GP-0984	42	16	7
GP-0985	74	51	45
GP-0986	74	50	43
GP-0987	89	65	55
GP-0988	40	23	22
GP-0989	37	12	4
GP-0990	38	14	7
GP-0991	48	25	18
GP-0992	74	50	40
GP-0993	53	28	15
GP-0994	51	27	19
GP-0995	35	9	4
GP-0996	39	13	4
GP-0997	51	28	15
GP-0998	82	57	43
GP-0999	40	14	7
GP-1000	32	9	5
GP-1001	87	79	69
GP-1002	53	45	39
GP-1003	47	39	36
GP-1004	72	63	55
GP-1005	73	65	58
GP-1006	60	53	51
GP-1007	61	53	51
GP-1008	61	54	52
GP-1009	66	58	52
GP-1010	36	29	26
GP-1011	39	31	27
GP-1012	44	36	29
GP-1013	22	14	6
GP-1014	38	30	24
GP-1015	38	30	25
GP-1016	38	29	24
GP-1017	36	27	21
GP-1018	36	28	23
GP-1019	57	49	39
GP-1020	46	36	30
GP-1021	36	28	23
GP-1022	34	26	22
GP-1023	45	36	29
GP-1024	38	29	25
GP-1025	50	42	37
GP-1026	30	21	19
GP-1027	50	42	38
GP-1028	48	40	37
GP-1029	57	52	48
GP-1030	35	29	27
GP-1031	35	26	24
GP-1032	32	24	20
GP-1033	32	25	23
GP-1034	41	33	31
GP-1035	28	21	20
GP-1036	31	24	22
GP-1037	33	25	24
GP-1038	33	26	24
GP-1039	28	21	20
GP-1040	45	36	35
GP-1041	31	24	20
GP-1042	32	25	24
GP-1043	87	67	64
GP-1044	68	46	45
GP-1045	73	50	46
GP-1046	48	28	25
GP-1047	60	37	28
GP-1048	65	43	38
GP-1049	61	37	26
GP-1050	54	30	22
GP-1051	51	28	24
GP-1052	58	34	23
GP-1053	46	23	21
GP-1054	50	27	22
GP-1055	83	59	51
GP-1056	62	38	36
GP-1057	51	27	21
GP-1058	44	23	21
GP-1059	63	40	38
GP-1060	53	29	24
GP-1061	74	51	46
GP-1062	43	22	19
GP-1063	68	47	46
GP-1064	72	51	43
GP-1065	83	63	58
GP-1066	45	25	25
GP-1067	48	25	23
GP-1068	44	22	19
GP-1069	47	25	21
GP-1070	64	42	40
GP-1071	43	19	18
GP-1072	51	27	21
GP-1073	51	27	22
GP-1074	46	24	23
GP-1075	44	23	18
GP-1076	70	47	43
GP-1077	47	25	19
GP-1078	44	24	21
GP-1079	129	93	78
GP-1080	86	53	47
GP-1081	92	56	49
GP-1082	103	65	55
GP-1083	106	74	61
GP-1084	93	55	52
GP-1085	97	57	51
GP-1086	98	59	53
GP-1087	98	61	53
GP-1088	79	42	37
GP-1089	79	41	31
GP-1090	81	44	37
GP-1091	85	43	30
GP-1092	87	46	37
GP-1093	79	41	37
GP-1094	85	45	36
GP-1095	84	44	35
GP-1096	82	41	35
GP-1097	93	51	40
GP-1098	95	53	42
GP-1099	85	42	32
GP-1100	78	38	33
GP-1101	88	47	39
GP-1102	84	43	36
GP-1103	84	42	29
GP-1104	76	35	31
GP-1105	77	40	37
GP-1106	79	41	36
GP-1107	87	51	49
GP-1108	64	35	35
GP-1109	84	44	35
GP-1110	71	34	31
GP-1111	76	38	34
GP-1112	70	32	24
GP-1113	76	36	31
GP-1114	74	37	35
GP-1115	76	38	36
GP-1116	76	38	36
GP-1117	70	33	34
GP-1118	74	34	27
GP-1119	74	37	31
GP-1120	78	39	34
GP-1121	86	57	42
GP-1122	86	54	45
GP-1123	77	43	40
GP-1124	101	69	57
GP-1125	103	71	59
GP-1126	91	62	52
GP-1127	88	60	51
GP-1128	92	62	52
GP-1129	93	62	52
GP-1130	65	35	26
GP-1131	44	13	6
GP-1132	70	37	26
GP-1133	71	41	28
GP-1134	74	37	24
GP-1135	73	36	26
GP-1136	72	37	25
GP-1137	70	33	22
GP-1138	67	32	23
GP-1139	86	54	40
GP-1140	69	39	30
GP-1141	58	25	22
GP-1142	87	53	47
GP-1143	72	40	30
GP-1144	88	53	50
GP-1145	86	49	37
GP-1146	66	31	20
GP-1147	76	47	37
GP-1148	320	288	276
GP-1149	89	59	47
GP-1150	60	34	25
GP-1151	65	34	24
GP-1152	60	30	20
GP-1153	68	34	23
GP-1154	74	40	30
GP-1155	66	30	20
GP-1156	61	31	22
GP-1157	69	36	25
GP-1158	114	81	65
