well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id
F10,18627,12,F,10,exp190923,20000,3,exp190923_3_F10
F11,18008,12,F,11,exp190923,20000,3,exp190923_3_F11
F12,18936,12,F,12,exp190923,20000,3,exp190923_3_F12
G01,19894,12,G,01,exp190923,20000,3,exp190923_3_G01
G02,19157,12,G,02,exp190923,20000,3,exp190923_3_G02
G03,18559,12,G,03,exp190923,20000,3,exp190923_3_G03
G04,18362,12,G,04,exp190923,20000,3,exp190923_3_G04
G05,18803,12,G,05,exp190923,20000,3,exp190923_3_G05
G06,19128,12,G,06,exp190923,20000,3,exp190923_3_G06
G07,17851,12,G,07,exp190923,20000,3,exp190923_3_G07
G08,18145,12,G,08,exp190923,20000,3,exp190923_3_G08
G09,18440,12,G,09,exp190923,20000,3,exp190923_3_G09
G10,18130,12,G,10,exp190923,20000,3,exp190923_3_G10
G11,18803,12,G,11,exp190923,20000,3,exp190923_3_G11
G12,18347,12,G,12,exp190923,20000,3,exp190923_3_G12
H01,12931,12,H,01,exp190923,20000,3,exp190923_3_H01
H02,19348,12,H,02,exp190923,20000,3,exp190923_3_H02
H03,19329,12,H,03,exp190923,20000,3,exp190923_3_H03
H04,18689,12,H,04,exp190923,20000,3,exp190923_3_H04
H05,19679,12,H,05,exp190923,20000,3,exp190923_3_H05
H06,18868,12,H,06,exp190923,20000,3,exp190923_3_H06
H07,18734,12,H,07,exp190923,20000,3,exp190923_3_H07
H08,17869,12,H,08,exp190923,20000,3,exp190923_3_H08
H09,19184,12,H,09,exp190923,20000,3,exp190923_3_H09
H10,16875,12,H,10,exp190923,20000,3,exp190923_3_H10
H11,16675,12,H,11,exp190923,20000,3,exp190923_3_H11
H12,28576,12,H,12,exp190923,20000,3,exp190923_3_H12
A01,18780,18,A,01,exp190923,20000,3,exp190923_3_A01
A02,17677,18,A,02,exp190923,20000,3,exp190923_3_A02
A03,17943,18,A,03,exp190923,20000,3,exp190923_3_A03
A04,19068,18,A,04,exp190923,20000,3,exp190923_3_A04
A05,17108,18,A,05,exp190923,20000,3,exp190923_3_A05
A06,18866,18,A,06,exp190923,20000,3,exp190923_3_A06
A07,18449,18,A,07,exp190923,20000,3,exp190923_3_A07
A08,18486,18,A,08,exp190923,20000,3,exp190923_3_A08
A09,18459,18,A,09,exp190923,20000,3,exp190923_3_A09
A10,17589,18,A,10,exp190923,20000,3,exp190923_3_A10
A11,18514,18,A,11,exp190923,20000,3,exp190923_3_A11
A12,19182,18,A,12,exp190923,20000,3,exp190923_3_A12
B01,20243,18,B,01,exp190923,20000,3,exp190923_3_B01
B02,19746,18,B,02,exp190923,20000,3,exp190923_3_B02
B03,18007,18,B,03,exp190923,20000,3,exp190923_3_B03
B04,17661,18,B,04,exp190923,20000,3,exp190923_3_B04
B05,18631,18,B,05,exp190923,20000,3,exp190923_3_B05
B06,17175,18,B,06,exp190923,20000,3,exp190923_3_B06
B07,18716,18,B,07,exp190923,20000,3,exp190923_3_B07
B08,17929,18,B,08,exp190923,20000,3,exp190923_3_B08
B09,18405,18,B,09,exp190923,20000,3,exp190923_3_B09
B10,17237,18,B,10,exp190923,20000,3,exp190923_3_B10
B11,19220,18,B,11,exp190923,20000,3,exp190923_3_B11
B12,18899,18,B,12,exp190923,20000,3,exp190923_3_B12
C01,18783,18,C,01,exp190923,20000,3,exp190923_3_C01
C02,19357,18,C,02,exp190923,20000,3,exp190923_3_C02
C03,18100,18,C,03,exp190923,20000,3,exp190923_3_C03
C04,17394,18,C,04,exp190923,20000,3,exp190923_3_C04
C05,18239,18,C,05,exp190923,20000,3,exp190923_3_C05
C06,18004,18,C,06,exp190923,20000,3,exp190923_3_C06
C07,18954,18,C,07,exp190923,20000,3,exp190923_3_C07
C08,17496,18,C,08,exp190923,20000,3,exp190923_3_C08
C09,17840,18,C,09,exp190923,20000,3,exp190923_3_C09
C10,18440,18,C,10,exp190923,20000,3,exp190923_3_C10
C11,18356,18,C,11,exp190923,20000,3,exp190923_3_C11
C12,18375,18,C,12,exp190923,20000,3,exp190923_3_C12
D01,20088,18,D,01,exp190923,20000,3,exp190923_3_D01
D02,17965,18,D,02,exp190923,20000,3,exp190923_3_D02
D03,17767,18,D,03,exp190923,20000,3,exp190923_3_D03
D04,17430,18,D,04,exp190923,20000,3,exp190923_3_D04
D05,17602,18,D,05,exp190923,20000,3,exp190923_3_D05
D06,18316,18,D,06,exp190923,20000,3,exp190923_3_D06
D07,18424,18,D,07,exp190923,20000,3,exp190923_3_D07
D08,18756,18,D,08,exp190923,20000,3,exp190923_3_D08
D09,17717,18,D,09,exp190923,20000,3,exp190923_3_D09
D10,16778,18,D,10,exp190923,20000,3,exp190923_3_D10
D11,18134,18,D,11,exp190923,20000,3,exp190923_3_D11
D12,18013,18,D,12,exp190923,20000,3,exp190923_3_D12
E01,17903,18,E,01,exp190923,20000,3,exp190923_3_E01
E02,17832,18,E,02,exp190923,20000,3,exp190923_3_E02
E03,18202,18,E,03,exp190923,20000,3,exp190923_3_E03
E04,17648,18,E,04,exp190923,20000,3,exp190923_3_E04
E05,17589,18,E,05,exp190923,20000,3,exp190923_3_E05
E06,17970,18,E,06,exp190923,20000,3,exp190923_3_E06
E07,16478,18,E,07,exp190923,20000,3,exp190923_3_E07
E08,17575,18,E,08,exp190923,20000,3,exp190923_3_E08
E09,17578,18,E,09,exp190923,20000,3,exp190923_3_E09
E10,17167,18,E,10,exp190923,20000,3,exp190923_3_E10
E11,18053,18,E,11,exp190923,20000,3,exp190923_3_E11
E12,18564,18,E,12,exp190923,20000,3,exp190923_3_E12
F01,18700,18,F,01,exp190923,20000,3,exp190923_3_F01
F02,17452,18,F,02,exp190923,20000,3,exp190923_3_F02
F03,18671,18,F,03,exp190923,20000,3,exp190923_3_F03
F04,17451,18,F,04,exp190923,20000,3,exp190923_3_F04
F05,18034,18,F,05,exp190923,20000,3,exp190923_3_F05
F06,18190,18,F,06,exp190923,20000,3,exp190923_3_F06
F07,18419,18,F,07,exp190923,20000,3,exp190923_3_F07
F08,17362,18,F,08,exp190923,20000,3,exp190923_3_F08
F09,18030,18,F,09,exp190923,20000,3,exp190923_3_F09
F10,18033,18,F,10,exp190923,20000,3,exp190923_3_F10
F11,17761,18,F,11,exp190923,20000,3,exp190923_3_F11
F12,18871,18,F,12,exp190923,20000,3,exp190923_3_F12
G01,19274,18,G,01,exp190923,20000,3,exp190923_3_G01
G02,18686,18,G,02,exp190923,20000,3,exp190923_3_G02
G03,18017,18,G,03,exp190923,20000,3,exp190923_3_G03
G04,18445,18,G,04,exp190923,20000,3,exp190923_3_G04
G05,18670,18,G,05,exp190923,20000,3,exp190923_3_G05
G06,18980,18,G,06,exp190923,20000,3,exp190923_3_G06
G07,17328,18,G,07,exp190923,20000,3,exp190923_3_G07
G08,17967,18,G,08,exp190923,20000,3,exp190923_3_G08
G09,18062,18,G,09,exp190923,20000,3,exp190923_3_G09
G10,17927,18,G,10,exp190923,20000,3,exp190923_3_G10
G11,18448,18,G,11,exp190923,20000,3,exp190923_3_G11
G12,18017,18,G,12,exp190923,20000,3,exp190923_3_G12
H01,12811,18,H,01,exp190923,20000,3,exp190923_3_H01
H02,18927,18,H,02,exp190923,20000,3,exp190923_3_H02
H03,19138,18,H,03,exp190923,20000,3,exp190923_3_H03
H04,18584,18,H,04,exp190923,20000,3,exp190923_3_H04
H05,18919,18,H,05,exp190923,20000,3,exp190923_3_H05
H06,18596,18,H,06,exp190923,20000,3,exp190923_3_H06
H07,18473,18,H,07,exp190923,20000,3,exp190923_3_H07
H08,17644,18,H,08,exp190923,20000,3,exp190923_3_H08
H09,18599,18,H,09,exp190923,20000,3,exp190923_3_H09
H10,16752,18,H,10,exp190923,20000,3,exp190923_3_H10
H11,16575,18,H,11,exp190923,20000,3,exp190923_3_H11
H12,28693,18,H,12,exp190923,20000,3,exp190923_3_H12
A01,18142,24,A,01,exp190923,20000,3,exp190923_3_A01
A02,17880,24,A,02,exp190923,20000,3,exp190923_3_A02
A03,17869,24,A,03,exp190923,20000,3,exp190923_3_A03
A04,18552,24,A,04,exp190923,20000,3,exp190923_3_A04
A05,16602,24,A,05,exp190923,20000,3,exp190923_3_A05
A06,18666,24,A,06,exp190923,20000,3,exp190923_3_A06
A07,18194,24,A,07,exp190923,20000,3,exp190923_3_A07
A08,18198,24,A,08,exp190923,20000,3,exp190923_3_A08
A09,18273,24,A,09,exp190923,20000,3,exp190923_3_A09
A10,17491,24,A,10,exp190923,20000,3,exp190923_3_A10
A11,17937,24,A,11,exp190923,20000,3,exp190923_3_A11
A12,18838,24,A,12,exp190923,20000,3,exp190923_3_A12
