well,sample,wave_length,f_signal_endpoint,experiment,plate
B05,Sample X17,WL535,28848,exp190905,2
B06,Sample X18,WL493,22860,exp190905,2
B06,Sample X18,WL535,26497,exp190905,2
B07,Sample X19,WL493,22363,exp190905,2
B07,Sample X19,WL535,26180,exp190905,2
B08,Sample X20,WL493,22044,exp190905,2
B08,Sample X20,WL535,26154,exp190905,2
B09,Sample X21,WL493,22084,exp190905,2
B09,Sample X21,WL535,25850,exp190905,2
B10,Sample X22,WL493,23545,exp190905,2
B10,Sample X22,WL535,26510,exp190905,2
B11,Sample X23,WL493,25238,exp190905,2
B11,Sample X23,WL535,27258,exp190905,2
B12,Sample X24,WL493,25604,exp190905,2
B12,Sample X24,WL535,27032,exp190905,2
C01,Sample X25,WL493,22456,exp190905,2
C01,Sample X25,WL535,25844,exp190905,2
C02,Sample X26,WL493,22676,exp190905,2
C02,Sample X26,WL535,25835,exp190905,2
C03,Sample X27,WL493,22208,exp190905,2
C03,Sample X27,WL535,25797,exp190905,2
C04,Sample X28,WL493,23122,exp190905,2
C04,Sample X28,WL535,25998,exp190905,2
C05,Sample X29,WL493,23930,exp190905,2
C05,Sample X29,WL535,26232,exp190905,2
C06,Sample X30,WL493,25551,exp190905,2
C06,Sample X30,WL535,26765,exp190905,2
C07,Sample X31,WL493,21710,exp190905,2
C07,Sample X31,WL535,25763,exp190905,2
C08,Sample X32,WL493,24690,exp190905,2
C08,Sample X32,WL535,26634,exp190905,2
C09,Sample X33,WL493,23400,exp190905,2
C09,Sample X33,WL535,26401,exp190905,2
C10,Sample X34,WL493,22595,exp190905,2
C10,Sample X34,WL535,26161,exp190905,2
C11,Sample X35,WL493,23646,exp190905,2
C11,Sample X35,WL535,26343,exp190905,2
C12,Sample X36,WL493,29228,exp190905,2
C12,Sample X36,WL535,28750,exp190905,2
D01,Sample X37,WL493,23437,exp190905,2
D01,Sample X37,WL535,26091,exp190905,2
D02,Sample X38,WL493,22048,exp190905,2
D02,Sample X38,WL535,25941,exp190905,2
D03,Sample X39,WL493,22485,exp190905,2
D03,Sample X39,WL535,26023,exp190905,2
D04,Sample X40,WL493,21309,exp190905,2
