well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
G05,14247,6,G,05,exp200731,40000,GP2,exp200731_GP2_G05,BPH3216,3,VSS-017
G06,13980,6,G,06,exp200731,40000,GP2,exp200731_GP2_G06,BPH2973,1,VAN-215
G07,13705,6,G,07,exp200731,40000,GP2,exp200731_GP2_G07,BPH2959,1,VAN-206
G08,12556,6,G,08,exp200731,40000,GP2,exp200731_GP2_G08,BPH2925,1,VAN-176
G09,13504,6,G,09,exp200731,40000,GP2,exp200731_GP2_G09,BPH2974,1,VAN-215
G10,13317,6,G,10,exp200731,40000,GP2,exp200731_GP2_G10,BPH2952,2,VAN-200
G11,12805,6,G,11,exp200731,40000,GP2,exp200731_GP2_G11,BPH2922,3,VAN-176
G12,13242,6,G,12,exp200731,40000,GP2,exp200731_GP2_G12,BPH2987,3,VAN-222
H01,13764,6,H,01,exp200731,40000,GP2,exp200731_GP2_H01,JE2,2,CONTROL
H02,13552,6,H,02,exp200731,40000,GP2,exp200731_GP2_H02,BPH2953,3,VAN-200
H03,14700,6,H,03,exp200731,40000,GP2,exp200731_GP2_H03,BPH2924,2,VAN-176
H04,13303,6,H,04,exp200731,40000,GP2,exp200731_GP2_H04,BPH2926,3,VAN-176
H05,12976,6,H,05,exp200731,40000,GP2,exp200731_GP2_H05,BPH2952,3,VAN-200
H06,13606,6,H,06,exp200731,40000,GP2,exp200731_GP2_H06,BPH2947,1,VAN-196
H07,13817,6,H,07,exp200731,40000,GP2,exp200731_GP2_H07,BPH2923,2,VAN-176
H08,13217,6,H,08,exp200731,40000,GP2,exp200731_GP2_H08,BPH2975,2,VAN-215
H09,13928,6,H,09,exp200731,40000,GP2,exp200731_GP2_H09,BPH2923,1,VAN-176
H10,34500,6,H,10,exp200731,40000,GP2,exp200731_GP2_H10,Complete lysis,1,CONTROL
H11,35808,6,H,11,exp200731,40000,GP2,exp200731_GP2_H11,Complete lysis,2,CONTROL
H12,33251,6,H,12,exp200731,40000,GP2,exp200731_GP2_H12,Complete lysis,3,CONTROL
A01,13236,12,A,01,exp200731,40000,GP2,exp200731_GP2_A01,BPH2991,2,VAN-223
A02,13516,12,A,02,exp200731,40000,GP2,exp200731_GP2_A02,BPH2961,3,VAN-206
A03,12885,12,A,03,exp200731,40000,GP2,exp200731_GP2_A03,BPH2922,1,VAN-176
A04,14442,12,A,04,exp200731,40000,GP2,exp200731_GP2_A04,BPH2960,1,VAN-206
A05,14754,12,A,05,exp200731,40000,GP2,exp200731_GP2_A05,JE2,3,CONTROL
A06,13067,12,A,06,exp200731,40000,GP2,exp200731_GP2_A06,BPH2966,1,VAN-208
A07,13085,12,A,07,exp200731,40000,GP2,exp200731_GP2_A07,BPH2926,2,VAN-176
A08,13165,12,A,08,exp200731,40000,GP2,exp200731_GP2_A08,BPH3220,1,VSS-021
A09,13922,12,A,09,exp200731,40000,GP2,exp200731_GP2_A09,BPH2988,2,VAN-222
A10,13964,12,A,10,exp200731,40000,GP2,exp200731_GP2_A10,BPH2974,3,VAN-215
A11,12932,12,A,11,exp200731,40000,GP2,exp200731_GP2_A11,BPH2947,3,VAN-196
A12,13028,12,A,12,exp200731,40000,GP2,exp200731_GP2_A12,BPH2975,3,VAN-215
B01,12754,12,B,01,exp200731,40000,GP2,exp200731_GP2_B01,BPH3204,2,VSS-005
B02,13986,12,B,02,exp200731,40000,GP2,exp200731_GP2_B02,BPH2924,1,VAN-176
B03,13016,12,B,03,exp200731,40000,GP2,exp200731_GP2_B03,BPH3204,1,VSS-005
B04,12974,12,B,04,exp200731,40000,GP2,exp200731_GP2_B04,BPH2961,1,VAN-206
B05,13270,12,B,05,exp200731,40000,GP2,exp200731_GP2_B05,BPH3208,3,VSS-009
B06,12762,12,B,06,exp200731,40000,GP2,exp200731_GP2_B06,Non infected,3,CONTROL
B07,13258,12,B,07,exp200731,40000,GP2,exp200731_GP2_B07,BPH2966,2,VAN-208
B08,13110,12,B,08,exp200731,40000,GP2,exp200731_GP2_B08,BPH2959,3,VAN-206
B09,13275,12,B,09,exp200731,40000,GP2,exp200731_GP2_B09,BPH2960,2,VAN-206
B10,13276,12,B,10,exp200731,40000,GP2,exp200731_GP2_B10,BPH3202,1,VSS-003
B11,13106,12,B,11,exp200731,40000,GP2,exp200731_GP2_B11,BPH2964,3,VAN-207
B12,13078,12,B,12,exp200731,40000,GP2,exp200731_GP2_B12,BPH2961,2,VAN-206
C01,13718,12,C,01,exp200731,40000,GP2,exp200731_GP2_C01,BPH2947,2,VAN-196
C02,14043,12,C,02,exp200731,40000,GP2,exp200731_GP2_C02,BPH2953,1,VAN-200
C03,13200,12,C,03,exp200731,40000,GP2,exp200731_GP2_C03,BPH2991,3,VAN-223
C04,12273,12,C,04,exp200731,40000,GP2,exp200731_GP2_C04,BPH3204,3,VSS-005
C05,14106,12,C,05,exp200731,40000,GP2,exp200731_GP2_C05,BPH2964,1,VAN-207
C06,12900,12,C,06,exp200731,40000,GP2,exp200731_GP2_C06,BPH2990,3,VAN-223
C07,13928,12,C,07,exp200731,40000,GP2,exp200731_GP2_C07,BPH2952,1,VAN-200
C08,12472,12,C,08,exp200731,40000,GP2,exp200731_GP2_C08,BPH2987,1,VAN-222
C09,12764,12,C,09,exp200731,40000,GP2,exp200731_GP2_C09,BPH2987,2,VAN-222
C10,12429,12,C,10,exp200731,40000,GP2,exp200731_GP2_C10,BPH2923,3,VAN-176
C11,12591,12,C,11,exp200731,40000,GP2,exp200731_GP2_C11,BPH2988,1,VAN-222
C12,14126,12,C,12,exp200731,40000,GP2,exp200731_GP2_C12,TOX-4,2,CONTROL
D01,13458,12,D,01,exp200731,40000,GP2,exp200731_GP2_D01,BPH3220,3,VSS-021
D02,13749,12,D,02,exp200731,40000,GP2,exp200731_GP2_D02,BPH3202,2,VSS-003
D03,13442,12,D,03,exp200731,40000,GP2,exp200731_GP2_D03,BPH2988,3,VAN-222
D04,13723,12,D,04,exp200731,40000,GP2,exp200731_GP2_D04,BPH2948,3,VAN-196
D05,13271,12,D,05,exp200731,40000,GP2,exp200731_GP2_D05,BPH2959,2,VAN-206
D06,13169,12,D,06,exp200731,40000,GP2,exp200731_GP2_D06,Non infected,2,CONTROL
D07,13646,12,D,07,exp200731,40000,GP2,exp200731_GP2_D07,BPH2922,2,VAN-176
D08,13127,12,D,08,exp200731,40000,GP2,exp200731_GP2_D08,BPH2966,3,VAN-208
D09,13917,12,D,09,exp200731,40000,GP2,exp200731_GP2_D09,BPH2946,3,VAN-195
D10,14106,12,D,10,exp200731,40000,GP2,exp200731_GP2_D10,BPH2948,1,VAN-196
D11,13063,12,D,11,exp200731,40000,GP2,exp200731_GP2_D11,BPH2975,1,VAN-215
D12,13396,12,D,12,exp200731,40000,GP2,exp200731_GP2_D12,BPH3202,3,VSS-003
E01,13174,12,E,01,exp200731,40000,GP2,exp200731_GP2_E01,TOX-4,1,CONTROL
E02,13292,12,E,02,exp200731,40000,GP2,exp200731_GP2_E02,BPH2990,2,VAN-223
E03,13724,12,E,03,exp200731,40000,GP2,exp200731_GP2_E03,BPH2989,2,VAN-223
E04,13349,12,E,04,exp200731,40000,GP2,exp200731_GP2_E04,BPH2948,2,VAN-196
E05,13318,12,E,05,exp200731,40000,GP2,exp200731_GP2_E05,Non infected,1,CONTROL
E06,13579,12,E,06,exp200731,40000,GP2,exp200731_GP2_E06,BPH2990,1,VAN-223
E07,13255,12,E,07,exp200731,40000,GP2,exp200731_GP2_E07,JE2,1,CONTROL
E08,12820,12,E,08,exp200731,40000,GP2,exp200731_GP2_E08,BPH2925,2,VAN-176
E09,13104,12,E,09,exp200731,40000,GP2,exp200731_GP2_E09,BPH2946,2,VAN-195
E10,13528,12,E,10,exp200731,40000,GP2,exp200731_GP2_E10,BPH2960,3,VAN-206
E11,12897,12,E,11,exp200731,40000,GP2,exp200731_GP2_E11,BPH2926,1,VAN-176
E12,13558,12,E,12,exp200731,40000,GP2,exp200731_GP2_E12,BPH2989,3,VAN-223
F01,13242,12,F,01,exp200731,40000,GP2,exp200731_GP2_F01,BPH3208,1,VSS-009
F02,13571,12,F,02,exp200731,40000,GP2,exp200731_GP2_F02,BPH2989,1,VAN-223
F03,13458,12,F,03,exp200731,40000,GP2,exp200731_GP2_F03,BPH2973,2,VAN-215
F04,13641,12,F,04,exp200731,40000,GP2,exp200731_GP2_F04,BPH2991,1,VAN-223
F05,13030,12,F,05,exp200731,40000,GP2,exp200731_GP2_F05,BPH3216,2,VSS-017
F06,13206,12,F,06,exp200731,40000,GP2,exp200731_GP2_F06,BPH3216,1,VSS-017
F07,13572,12,F,07,exp200731,40000,GP2,exp200731_GP2_F07,BPH2973,3,VAN-215
F08,12570,12,F,08,exp200731,40000,GP2,exp200731_GP2_F08,BPH2925,3,VAN-176
F09,13140,12,F,09,exp200731,40000,GP2,exp200731_GP2_F09,BPH2946,1,VAN-195
F10,13342,12,F,10,exp200731,40000,GP2,exp200731_GP2_F10,BPH2974,2,VAN-215
F11,13075,12,F,11,exp200731,40000,GP2,exp200731_GP2_F11,JE2,4,CONTROL
F12,12910,12,F,12,exp200731,40000,GP2,exp200731_GP2_F12,BPH3220,2,VSS-021
G01,13668,12,G,01,exp200731,40000,GP2,exp200731_GP2_G01,BPH2964,2,VAN-207
G02,13363,12,G,02,exp200731,40000,GP2,exp200731_GP2_G02,BPH3208,2,VSS-009
G03,13310,12,G,03,exp200731,40000,GP2,exp200731_GP2_G03,BPH2924,3,VAN-176
G04,13529,12,G,04,exp200731,40000,GP2,exp200731_GP2_G04,BPH2953,2,VAN-200
G05,13787,12,G,05,exp200731,40000,GP2,exp200731_GP2_G05,BPH3216,3,VSS-017
G06,13693,12,G,06,exp200731,40000,GP2,exp200731_GP2_G06,BPH2973,1,VAN-215
G07,13402,12,G,07,exp200731,40000,GP2,exp200731_GP2_G07,BPH2959,1,VAN-206
G08,12554,12,G,08,exp200731,40000,GP2,exp200731_GP2_G08,BPH2925,1,VAN-176
G09,13356,12,G,09,exp200731,40000,GP2,exp200731_GP2_G09,BPH2974,1,VAN-215
G10,13198,12,G,10,exp200731,40000,GP2,exp200731_GP2_G10,BPH2952,2,VAN-200
G11,12761,12,G,11,exp200731,40000,GP2,exp200731_GP2_G11,BPH2922,3,VAN-176
G12,13322,12,G,12,exp200731,40000,GP2,exp200731_GP2_G12,BPH2987,3,VAN-222
