"well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment_id","well","well_row","well_col","experiment","cell_number","plate","sample_id","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp190831_2_D08",324,0.000252462632482378,2745.54366222228,6.78575524707033,1104,0.1004923507162,174,-0.0277110981144664,0.1004923507162,1104,"exp190831_2","D08","D","08","exp190831","40000","2","BPH2742","3","VAN-032",0.0667131229839034,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D09",348,0.00633374510854529,109.437176375281,195.769624349655,612,1.72684895252909,114,-0.0820906505414158,1.25610073495136,1104,"exp190831_2","D09","D","09","exp190831","40000","2","BPH2733","3","VAN-026",0.0449200379522464,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D10",678,0.00107959601872554,642.043105511081,44.4578894815794,1104,0.612645256048337,168,-0.0371101278950665,0.612645256048337,1104,"exp190831_2","D10","D","10","exp190831","40000","2","BPH2735","1","VAN-027",0.0843516063671784,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D11",276,0.000581060257699596,1192.90068693409,29.9062178148851,1104,0.384106586735837,114,-0.0353044261773227,0.384106586735837,1104,"exp190831_2","D11","D","11","exp190831","40000","2","BPH2745","1","VAN-035",0.0970946520966736,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_D12",600,0.00106460810851852,651.08200380374,48.3302065907116,1104,0.673959664731498,132,-0.0441530718811051,0.673959664731498,1104,"exp190831_2","D12","D","12","exp190831","40000","2","BPH2751","3","VAN-040",0.0877906283250231,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E01",426,0.00314057647013818,220.706990309154,118.900688596991,696,1.03585156687053,144,0.0850993523457276,0.84866509223263,1104,"exp190831_2","E01","E","01","exp190831","40000","2","JE2","1","CONTROL",0.158091602213144,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E02",402,0.00559855511537839,123.808226636186,178.714232419348,648,1.6556458875067,138,0.00550972865426106,1.13455338093903,1104,"exp190831_2","E02","E","02","exp190831","40000","2","BPH2749","2","VAN-039",0.0548811392781732,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E03",762,0.00137773695036593,503.105603994901,31.9574421901608,1104,0.530301547559625,156,-0.0493490158786247,0.530301547559625,1104,"exp190831_2","E03","E","03","exp190831","40000","2","BPH2748","2","VAN-038",0.0548880052507987,FALSE,FALSE,FALSE,0,0.00540540540540541,0.0432432432432432,FALSE,"1"
"exp190831_2_E04",600,0.000826611983661995,838.539961021634,45.0820809155762,1104,0.555117430226198,150,-0.0134735923026612,0.555117430226198,1104,"exp190831_2","E04","E","04","exp190831","40000","2","BPH2735","2","VAN-027",0.0843516063671784,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E05",360,0.000192708104972825,3596.876118198,0.0129485255244489,1104,0.0782497482214915,180,-0.0604814455385968,0.0782497482214915,1104,"exp190831_2","E05","E","05","exp190831","40000","2","TOX-4","1","CONTROL",0.167908467895464,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
