"well_id","time_of_max_rate_growth","max_rate_growth","doubling_time_growth","AUC_growth","time_of_max_growth","max_growth","time_of_min_growth","min_growth","end_point_growth","end_point_timepoint_growth","experiment_id","well_row","well_col","OD","well","OD_blank_normalised","experiment","plate","sample_id","replicate","strain_group","mean_blank_OD","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp191107_2_D02",360,0.00278274978120365,249.087138643178,57.7124380109751,930,1.00526645381592,50,0.0402802960895796,1.00526645381592,930,"exp191107_2","D","2",-0.005166667,"D02",TRUE,"exp191107","2","BPH2751","2","VAN-040",0.006,0.00460133015725536,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D03",420,0.00306744164787365,225.969149581194,58.5322429486247,830,1.13798093253226,120,0.0431187258770431,1.13265134048873,930,"exp191107_2","D","3",-0.006866667,"D03",TRUE,"exp191107","2","BPH2747","3","VAN-038",0.006,0.0118309647748493,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D04",270,0.00276270207267777,250.894653974797,69.2984997675952,930,1.09113120023294,0,-0.0070010538512747,1.09113120023294,930,"exp191107_2","D","4",-0.002,"D04",TRUE,"exp191107","2","BPH2735","3","VAN-027",0.006,0.00250536639504748,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D05",540,0.0030151163837614,229.890688231157,45.5183110612721,930,1.11043791339956,230,0.0519061738281609,1.11043791339956,930,"exp191107_2","D","5",-0.003,"D05",TRUE,"exp191107","2","BPH2738","2","VAN-029",0.006,0.00166538182433318,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D06",430,0.0028676500410718,241.7126115922,55.689495155225,930,1.13031984360922,130,0.0477147340827842,1.13031984360922,930,"exp191107_2","D","6",-0.004,"D06",TRUE,"exp191107","2","TOX-4","2","CONTROL",0.006,0.0152119412755205,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D07",350,0.00291755522415076,237.578084151502,65.567389152207,930,1.18557787497546,0,0.0339859805100874,1.18557787497546,930,"exp191107_2","D","7",-0.004,"D07",TRUE,"exp191107","2","BPH2728","2","VAN-024",0.006,0.00250536639504748,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D08",350,0.00273533657896061,253.404712930549,59.577309504735,930,1.05060104188655,0,0.0407267236639985,1.05060104188655,930,"exp191107_2","D","8",-0.003,"D08",TRUE,"exp191107","2","BPH2742","3","VAN-032",0.006,0.00951909752663404,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D09",360,0.00297288599871791,233.156327171265,63.6841649690859,930,1.12906074752378,0,0.0419906217856743,1.12906074752378,930,"exp191107_2","D","9",0,"D09",TRUE,"exp191107","2","BPH2733","3","VAN-026",0.006,0.00229238876042455,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D10",230,0.00280190010439934,247.384687081318,72.7912460036316,860,1.09517151965209,0,-0.0238969321947921,1.0948371499278,930,"exp191107_2","D","10",-0.001,"D10",TRUE,"exp191107","2","BPH2735","1","VAN-027",0.006,0.00250536639504748,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_D11",340,0.00294138146449134,235.653616821786,62.0873486243422,710,1.0490203055471,0,0.0370820597318309,1.01277328667597,930,"exp191107_2","D","11",0.002,"D11",TRUE,"exp191107","2","BPH2745","1","VAN-035",0.006,0.0275840580055981,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E01",270,0.00263930549127019,262.624839319514,63.7232085514888,660,0.975221681099316,0,-0.000948966458376232,0.911219411352109,930,"exp191107_2","E","1",0.003,"E01",TRUE,"exp191107","2","JE2","1","CONTROL",0.006,0.0165342570261804,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E02",370,0.00298991407299369,231.828461834665,62.7699716190719,930,1.17578428712989,70,0.0401071686587203,1.17578428712989,930,"exp191107_2","E","2",-0.006566667,"E02",TRUE,"exp191107","2","BPH2749","2","VAN-039",0.006,0.0010002837319184,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
