GP-0374	BPH3208	BPH3260
GP-0375	BPH3208	BPH3262
GP-0376	BPH3208	BPH3306
GP-0377	BPH3208	BPH3638
GP-0378	BPH3208	BPH3643
GP-0379	BPH3208	BPH3644
GP-0380	BPH3208	BPH3646
GP-0381	BPH3208	BPH3648
GP-0382	BPH3208	BPH3650
GP-0383	BPH3208	BPH3652
GP-0384	BPH3208	BPH3658
GP-0385	BPH3208	BPH3660
GP-0386	BPH3208	BPH3666
GP-0387	BPH3208	BPH3668
GP-0388	BPH3208	BPH3670
GP-0389	BPH3208	BPH3672
GP-0390	BPH3208	BPH3674
GP-0391	BPH3208	BPH3676
GP-0392	BPH3208	BPH3682
GP-0393	BPH3208	BPH3684
GP-0394	BPH3208	BPH3686
GP-0395	BPH3208	BPH3688
GP-0396	BPH3208	BPH3692
GP-0397	BPH3208	BPH3694
GP-0398	BPH3208	BPH3698
GP-0399	BPH3208	BPH3700
GP-0400	BPH3208	BPH3702
GP-0401	BPH3208	BPH3704
GP-0402	BPH3208	BPH3706
GP-0403	BPH3208	BPH3710
GP-0404	BPH3208	BPH3712
GP-0405	BPH3208	BPH3753
GP-0406	BPH3208	BPH3755
GP-0407	BPH3216	BPH3270
GP-0408	BPH3220	BPH3208
GP-0409	BPH3220	BPH3250
GP-0410	BPH3220	BPH3260
GP-0411	BPH3220	BPH3262
GP-0412	BPH3220	BPH3306
GP-0413	BPH3220	BPH3638
GP-0414	BPH3220	BPH3643
GP-0415	BPH3220	BPH3644
GP-0416	BPH3220	BPH3646
GP-0417	BPH3220	BPH3652
GP-0418	BPH3220	BPH3660
GP-0419	BPH3220	BPH3666
GP-0420	BPH3220	BPH3670
GP-0421	BPH3220	BPH3674
GP-0422	BPH3220	BPH3676
GP-0423	BPH3220	BPH3682
GP-0424	BPH3220	BPH3684
GP-0425	BPH3220	BPH3686
GP-0426	BPH3220	BPH3694
GP-0427	BPH3220	BPH3698
GP-0428	BPH3220	BPH3700
GP-0429	BPH3220	BPH3702
GP-0430	BPH3220	BPH3704
GP-0431	BPH3220	BPH3712
GP-0432	BPH3220	BPH3753
GP-0433	BPH3220	BPH3755
GP-0434	BPH3226	BPH3204
GP-0435	BPH3226	BPH3292
GP-0436	BPH3226	BPH3320
GP-0437	BPH3236	BPH3258
GP-0438	BPH3236	BPH3316
GP-0439	BPH3244	BPH3272
GP-0440	BPH3244	BPH3284
GP-0441	BPH3246	BPH3294
GP-0442	BPH3250	BPH2869
GP-0443	BPH3250	BPH3208
GP-0444	BPH3250	BPH3220
GP-0445	BPH3250	BPH3260
GP-0446	BPH3250	BPH3262
GP-0447	BPH3250	BPH3306
GP-0448	BPH3250	BPH3638
GP-0449	BPH3250	BPH3643
GP-0450	BPH3250	BPH3644
GP-0451	BPH3250	BPH3646
GP-0452	BPH3250	BPH3648
GP-0453	BPH3250	BPH3650
GP-0454	BPH3250	BPH3652
GP-0455	BPH3250	BPH3658
GP-0456	BPH3250	BPH3660
GP-0457	BPH3250	BPH3666
GP-0458	BPH3250	BPH3668
GP-0459	BPH3250	BPH3670
GP-0460	BPH3250	BPH3672
GP-0461	BPH3250	BPH3674
GP-0462	BPH3250	BPH3676
GP-0463	BPH3250	BPH3682
GP-0464	BPH3250	BPH3684
GP-0465	BPH3250	BPH3686
GP-0466	BPH3250	BPH3688
GP-0467	BPH3250	BPH3692
GP-0468	BPH3250	BPH3694
GP-0469	BPH3250	BPH3698
GP-0470	BPH3250	BPH3700
GP-0471	BPH3250	BPH3702
GP-0472	BPH3250	BPH3704
GP-0473	BPH3250	BPH3706
GP-0474	BPH3250	BPH3710
GP-0475	BPH3250	BPH3712
GP-0476	BPH3250	BPH3753
GP-0477	BPH3250	BPH3755
GP-0478	BPH3258	BPH3236
GP-0479	BPH3258	BPH3316
GP-0480	BPH3260	BPH2869
GP-0481	BPH3260	BPH3208
GP-0482	BPH3260	BPH3220
GP-0483	BPH3260	BPH3250
GP-0484	BPH3260	BPH3262
GP-0485	BPH3260	BPH3306
GP-0486	BPH3260	BPH3638
GP-0487	BPH3260	BPH3643
GP-0488	BPH3260	BPH3644
GP-0489	BPH3260	BPH3646
GP-0490	BPH3260	BPH3648
GP-0491	BPH3260	BPH3652
GP-0492	BPH3260	BPH3658
GP-0493	BPH3260	BPH3660
GP-0494	BPH3260	BPH3666
GP-0495	BPH3260	BPH3668
GP-0496	BPH3260	BPH3670
GP-0497	BPH3260	BPH3672
GP-0498	BPH3260	BPH3674
GP-0499	BPH3260	BPH3676
GP-0500	BPH3260	BPH3682
GP-0501	BPH3260	BPH3684
GP-0502	BPH3260	BPH3686
GP-0503	BPH3260	BPH3694
GP-0504	BPH3260	BPH3698
GP-0505	BPH3260	BPH3700
GP-0506	BPH3260	BPH3702
GP-0507	BPH3260	BPH3704
GP-0508	BPH3260	BPH3710
GP-0509	BPH3260	BPH3712
GP-0510	BPH3260	BPH3753
GP-0511	BPH3260	BPH3755
GP-0512	BPH3262	BPH2869
GP-0513	BPH3262	BPH3208
GP-0514	BPH3262	BPH3220
GP-0515	BPH3262	BPH3250
GP-0516	BPH3262	BPH3260
GP-0517	BPH3262	BPH3306
GP-0518	BPH3262	BPH3638
GP-0519	BPH3262	BPH3643
GP-0520	BPH3262	BPH3644
GP-0521	BPH3262	BPH3646
GP-0522	BPH3262	BPH3648
GP-0523	BPH3262	BPH3650
GP-0524	BPH3262	BPH3652
GP-0525	BPH3262	BPH3658
GP-0526	BPH3262	BPH3660
GP-0527	BPH3262	BPH3666
GP-0528	BPH3262	BPH3668
GP-0529	BPH3262	BPH3670
GP-0530	BPH3262	BPH3672
GP-0531	BPH3262	BPH3674
GP-0532	BPH3262	BPH3676
GP-0533	BPH3262	BPH3682
GP-0534	BPH3262	BPH3684
GP-0535	BPH3262	BPH3686
GP-0536	BPH3262	BPH3688
GP-0537	BPH3262	BPH3692
GP-0538	BPH3262	BPH3694
GP-0539	BPH3262	BPH3698
GP-0540	BPH3262	BPH3700
GP-0541	BPH3262	BPH3702
GP-0542	BPH3262	BPH3704
GP-0543	BPH3262	BPH3706
GP-0544	BPH3262	BPH3710
GP-0545	BPH3262	BPH3712
GP-0546	BPH3262	BPH3753
GP-0547	BPH3262	BPH3755
GP-0548	BPH3268	BPH3304
GP-0549	BPH3270	BPH3216
GP-0550	BPH3272	BPH3244
GP-0551	BPH3272	BPH3284
GP-0552	BPH3274	BPH3282
GP-0553	BPH3282	BPH3274
GP-0554	BPH3284	BPH3244
GP-0555	BPH3284	BPH3272
GP-0556	BPH3292	BPH3204
GP-0557	BPH3292	BPH3226
GP-0558	BPH3292	BPH3320
GP-0559	BPH3294	BPH3246
GP-0560	BPH3304	BPH3268
GP-0561	BPH3306	BPH2869
GP-0562	BPH3306	BPH3208
GP-0563	BPH3306	BPH3220
GP-0564	BPH3306	BPH3250
GP-0565	BPH3306	BPH3260
GP-0566	BPH3306	BPH3262
GP-0567	BPH3306	BPH3638
GP-0568	BPH3306	BPH3643
GP-0569	BPH3306	BPH3644
GP-0570	BPH3306	BPH3646
GP-0571	BPH3306	BPH3648
GP-0572	BPH3306	BPH3652
GP-0573	BPH3306	BPH3658
GP-0574	BPH3306	BPH3660
GP-0575	BPH3306	BPH3666
GP-0576	BPH3306	BPH3668
GP-0577	BPH3306	BPH3670
GP-0578	BPH3306	BPH3672
GP-0579	BPH3306	BPH3674
GP-0580	BPH3306	BPH3676
GP-0581	BPH3306	BPH3682
GP-0582	BPH3306	BPH3684
GP-0583	BPH3306	BPH3686
GP-0584	BPH3306	BPH3694
GP-0585	BPH3306	BPH3698
GP-0586	BPH3306	BPH3700
GP-0587	BPH3306	BPH3702
GP-0588	BPH3306	BPH3704
GP-0589	BPH3306	BPH3710
GP-0590	BPH3306	BPH3712
GP-0591	BPH3306	BPH3753
GP-0592	BPH3306	BPH3755
GP-0593	BPH3316	BPH3236
GP-0594	BPH3316	BPH3258
GP-0595	BPH3320	BPH3204
GP-0596	BPH3320	BPH3226
GP-0597	BPH3320	BPH3292
GP-0598	BPH3328	BPH3485
GP-0599	BPH3328	BPH3511
GP-0600	BPH3328	BPH3545
GP-0601	BPH3328	BPH3547
GP-0602	BPH3332	BPH3403
GP-0603	BPH3336	BPH3733
GP-0604	BPH3337	BPH3734
GP-0605	BPH3338	BPH3340
GP-0606	BPH3340	BPH3338
GP-0607	BPH3346	BPH3545
GP-0608	BPH3346	BPH3547
GP-0609	BPH3348	BPH3368
GP-0610	BPH3348	BPH3735
GP-0611	BPH3352	BPH3736
GP-0612	BPH3356	BPH3415
GP-0613	BPH3356	BPH3485
GP-0614	BPH3356	BPH3511
GP-0615	BPH3356	BPH3545
GP-0616	BPH3356	BPH3547
GP-0617	BPH3356	BPH3737
GP-0618	BPH3362	BPH3366
GP-0619	BPH3362	BPH3376
GP-0620	BPH3362	BPH3382
GP-0621	BPH3362	BPH3435
GP-0622	BPH3366	BPH3362
GP-0623	BPH3366	BPH3376
