inoculum_OD,well,inoculum_OD_blank_normalised,experiment,plate,sample_id,replicate
0.291,D03,TRUE,exp191109,3,BPH2776,3
0.27099999999999996,D04,TRUE,exp191109,3,BPH2763,3
0.283,D05,TRUE,exp191109,3,BPH2766,2
0.282,D06,TRUE,exp191109,3,TOX-4,2
0.24,D07,TRUE,exp191109,3,BPH2756,2
0.298,D08,TRUE,exp191109,3,BPH2770,3
0.286,D09,TRUE,exp191109,3,BPH2761,3
0.20999999999999996,D10,TRUE,exp191109,3,BPH2763,1
0.38599999999999995,D11,TRUE,exp191109,3,BPH2774,1
0.33099999999999996,D12,TRUE,exp191109,3,BPH2780,3
0.626,E01,TRUE,exp191109,3,JE2,1
0.306,E02,TRUE,exp191109,3,BPH2778,2
0.21899999999999997,E03,TRUE,exp191109,3,BPH2777,2
0.501,E04,TRUE,exp191109,3,BPH2763,2
0.344,E05,TRUE,exp191109,3,TOX-4,1
0.33199999999999996,E06,TRUE,exp191109,3,BPH2778,1
-0.0040000000000000036,E07,TRUE,exp191109,3,Non infected,1
0.20499999999999996,E08,TRUE,exp191109,3,BPH2759,2
0.244,E09,TRUE,exp191109,3,BPH2761,2
0.252,E10,TRUE,exp191109,3,BPH2767,3
0.251,E11,TRUE,exp191109,3,BPH2760,1
0.32699999999999996,E12,TRUE,exp191109,3,BPH2777,3
0.49699999999999994,F01,TRUE,exp191109,3,BPH2782,1
0.32899999999999996,F02,TRUE,exp191109,3,BPH2777,1
0.306,F03,TRUE,exp191109,3,BPH2771,2
0.367,F04,TRUE,exp191109,3,BPH2779,1
0.425,F05,TRUE,exp191109,3,BPH2783,2
0.358,F06,TRUE,exp191109,3,BPH2783,1
0.32399999999999995,F07,TRUE,exp191109,3,BPH2771,3
0.247,F08,TRUE,exp191109,3,BPH2759,3
0.235,F09,TRUE,exp191109,3,BPH2761,1
0.301,F10,TRUE,exp191109,3,BPH2773,2
0.20799999999999996,F11,TRUE,exp191109,3,JE2,3
0.39099999999999996,F12,TRUE,exp191109,3,BPH2784,2
0.501,G01,TRUE,exp191109,3,BPH2769,2
0.364,G02,TRUE,exp191109,3,BPH2782,2
0.307,G03,TRUE,exp191109,3,BPH2758,3
0.33899999999999997,G04,TRUE,exp191109,3,BPH2765,2
0.373,G05,TRUE,exp191109,3,BPH2783,3
0.33799999999999997,G06,TRUE,exp191109,3,BPH2771,1
0.308,G07,TRUE,exp191109,3,BPH2766,1
0.26399999999999996,G08,TRUE,exp191109,3,BPH2759,1
0.317,G09,TRUE,exp191109,3,BPH2773,1
0.356,G10,TRUE,exp191109,3,BPH2764,2
0.27299999999999996,G11,TRUE,exp191109,3,BPH2756,3
0.409,G12,TRUE,exp191109,3,BPH2775,3
-0.0010000000000000009,H01,TRUE,exp191109,3,Non infected,2
0.424,H02,TRUE,exp191109,3,BPH2765,3
0.41,H03,TRUE,exp191109,3,BPH2758,2
0.432,H04,TRUE,exp191109,3,BPH2760,3
0.608,H05,TRUE,exp191109,3,BPH2764,3
0.363,H06,TRUE,exp191109,3,BPH2762,1
0.416,H07,TRUE,exp191109,3,BPH2757,2
0.442,H08,TRUE,exp191109,3,BPH2774,2
0.42,H09,TRUE,exp191109,3,BPH2757,1
NA,H11,TRUE,exp191111,3,Complete lysis,2
NA,H12,TRUE,exp191111,3,Complete lysis,3
0.411,A01,TRUE,exp191111,3,BPH2779,2
0.432,A02,TRUE,exp191111,3,BPH2768,3
0.395,A03,TRUE,exp191111,3,BPH2756,1
0.392,A04,TRUE,exp191111,3,BPH2767,1
0.003,A05,TRUE,exp191111,3,Non infected,3
0.467,A06,TRUE,exp191111,3,BPH2770,1
0.587,A07,TRUE,exp191111,3,BPH2760,2
0.509,A08,TRUE,exp191111,3,BPH2784,1
0.372,A09,TRUE,exp191111,3,BPH2776,2
0.506,A10,TRUE,exp191111,3,BPH2773,3
0.414,A11,TRUE,exp191111,3,BPH2762,3
0.672,A12,TRUE,exp191111,3,BPH2774,3
0.414,B01,TRUE,exp191111,3,BPH2781,2
0.346,B02,TRUE,exp191111,3,BPH2758,1
0.386,B03,TRUE,exp191111,3,BPH2781,1
0.343,B04,TRUE,exp191111,3,BPH2768,1
0.405,B05,TRUE,exp191111,3,BPH2782,3
0.339,B06,TRUE,exp191111,3,TOX-4,3
0.371,B07,TRUE,exp191111,3,BPH2770,2
0.33,B08,TRUE,exp191111,3,BPH2766,3
0.336,B09,TRUE,exp191111,3,BPH2767,2
0.39,B10,TRUE,exp191111,3,BPH2780,1
0.434,B11,TRUE,exp191111,3,BPH2769,3
0.387,B12,TRUE,exp191111,3,BPH2768,2
0.398,C01,TRUE,exp191111,3,BPH2762,2
0.349,C02,TRUE,exp191111,3,BPH2765,1
0.356,C03,TRUE,exp191111,3,BPH2779,3
0.357,C04,TRUE,exp191111,3,BPH2781,3
0.354,C05,TRUE,exp191111,3,BPH2769,1
0.262,C06,TRUE,exp191111,3,BPH2778,3
0.413,C07,TRUE,exp191111,3,BPH2764,1
0.265,C08,TRUE,exp191111,3,BPH2775,1
0.258,C09,TRUE,exp191111,3,BPH2775,2
0.25,C10,TRUE,exp191111,3,BPH2757,3
0.422,C11,TRUE,exp191111,3,BPH2776,1
0.276,C12,TRUE,exp191111,3,JE2,2
0.372,D01,TRUE,exp191111,3,BPH2784,3
0.339,D02,TRUE,exp191111,3,BPH2780,2
0.297,D03,TRUE,exp191111,3,BPH2776,3
0.404,D04,TRUE,exp191111,3,BPH2763,3
0.306,D05,TRUE,exp191111,3,BPH2766,2
0.278,D06,TRUE,exp191111,3,TOX-4,2
0.296,D07,TRUE,exp191111,3,BPH2756,2
0.308,D08,TRUE,exp191111,3,BPH2770,3
0.274,D09,TRUE,exp191111,3,BPH2761,3
0.303,D10,TRUE,exp191111,3,BPH2763,1
0.346,D11,TRUE,exp191111,3,BPH2774,1
0.391,D12,TRUE,exp191111,3,BPH2780,3
0.349,E01,TRUE,exp191111,3,JE2,1
0.326,E02,TRUE,exp191111,3,BPH2778,2
0.363,E03,TRUE,exp191111,3,BPH2777,2
0.462,E04,TRUE,exp191111,3,BPH2763,2
0.389,E05,TRUE,exp191111,3,TOX-4,1
0.263,E06,TRUE,exp191111,3,BPH2778,1
0.001,E07,TRUE,exp191111,3,Non infected,1
0.233,E08,TRUE,exp191111,3,BPH2759,2
0.249,E09,TRUE,exp191111,3,BPH2761,2
0.284,E10,TRUE,exp191111,3,BPH2767,3
0.263,E11,TRUE,exp191111,3,BPH2760,1
0.365,E12,TRUE,exp191111,3,BPH2777,3
0.419,F01,TRUE,exp191111,3,BPH2782,1
0.374,F02,TRUE,exp191111,3,BPH2777,1
0.33,F03,TRUE,exp191111,3,BPH2771,2
0.297,F04,TRUE,exp191111,3,BPH2779,1
0.359,F05,TRUE,exp191111,3,BPH2783,2
0.349,F06,TRUE,exp191111,3,BPH2783,1
0.331,F07,TRUE,exp191111,3,BPH2771,3
0.304,F08,TRUE,exp191111,3,BPH2759,3
0.275,F09,TRUE,exp191111,3,BPH2761,1
0.358,F10,TRUE,exp191111,3,BPH2773,2
0.294,F11,TRUE,exp191111,3,JE2,3
0.427,F12,TRUE,exp191111,3,BPH2784,2
0.526,G01,TRUE,exp191111,3,BPH2769,2
0.402,G02,TRUE,exp191111,3,BPH2782,2
0.452,G03,TRUE,exp191111,3,BPH2758,3
0.349,G04,TRUE,exp191111,3,BPH2765,2
0.412,G05,TRUE,exp191111,3,BPH2783,3
0.437,G06,TRUE,exp191111,3,BPH2771,1
0.366,G07,TRUE,exp191111,3,BPH2766,1
0.359,G08,TRUE,exp191111,3,BPH2759,1
0.38,G09,TRUE,exp191111,3,BPH2773,1
0.507,G10,TRUE,exp191111,3,BPH2764,2
0.315,G11,TRUE,exp191111,3,BPH2756,3
0.38,G12,TRUE,exp191111,3,BPH2775,3
0.006,H01,TRUE,exp191111,3,Non infected,2
0.46,H02,TRUE,exp191111,3,BPH2765,3
0.542,H03,TRUE,exp191111,3,BPH2758,2
0.42,H04,TRUE,exp191111,3,BPH2760,3
0.7,H05,TRUE,exp191111,3,BPH2764,3
0.515,H06,TRUE,exp191111,3,BPH2762,1
0.501,H07,TRUE,exp191111,3,BPH2757,2
0.456,H08,TRUE,exp191111,3,BPH2774,2
0.482,H09,TRUE,exp191111,3,BPH2757,1
NA,H10,TRUE,exp191116,1,Complete lysis,1
NA,H11,TRUE,exp191116,1,Complete lysis,2
NA,H12,TRUE,exp191116,1,Complete lysis,3
0.792,A01,TRUE,exp191116,1,BPH2722,2
0.355,A02,TRUE,exp191116,1,BPH2712,3
0.438,A03,TRUE,exp191116,1,BPH2700,1
0.387,A04,TRUE,exp191116,1,BPH2711,1
0.003,A05,TRUE,exp191116,1,Non infected,3
0.308,A06,TRUE,exp191116,1,BPH2714,1
0.399,A07,TRUE,exp191116,1,BPH2704,2
0.481,A08,TRUE,exp191116,1,BPH2727,1
0.394,A09,TRUE,exp191116,1,BPH2719,2
0.332,A10,TRUE,exp191116,1,BPH2716,3
0.481,A11,TRUE,exp191116,1,BPH2706,3
0.538,A12,TRUE,exp191116,1,BPH2717,3
0.577,B01,TRUE,exp191116,1,BPH2724,2
0.352,B02,TRUE,exp191116,1,BPH2702,1
0.311,B03,TRUE,exp191116,1,BPH2724,1
0.33,B04,TRUE,exp191116,1,BPH2712,1
0.302,B05,TRUE,exp191116,1,BPH2725,3
0.294,B06,TRUE,exp191116,1,TOX-4,3
0.26,B07,TRUE,exp191116,1,BPH2714,2
0.442,B08,TRUE,exp191116,1,BPH2710,3
0.341,B09,TRUE,exp191116,1,BPH2711,2
