well,sample,wave_length,time,OD,timepoint
F09,Sample X69,WL493,18,35579,18
F10,Sample X70,WL493,18,35406,18
F11,Sample X71,WL493,18,35514,18
F12,Sample X72,WL493,18,35527,18
G01,Sample X73,WL493,18,36285,18
G02,Sample X74,WL493,18,35335,18
G03,Sample X75,WL493,18,35600,18
G04,Sample X76,WL493,18,35453,18
G05,Sample X77,WL493,18,35248,18
G06,Sample X78,WL493,18,35493,18
G07,Sample X79,WL493,18,35672,18
G08,Sample X80,WL493,18,35131,18
G09,Sample X81,WL493,18,35041,18
G10,Sample X82,WL493,18,35528,18
G11,Sample X83,WL493,18,35533,18
G12,Sample X84,WL493,18,35426,18
H01,Sample X85,WL493,18,35538,18
H02,Sample X86,WL493,18,35957,18
H03,Sample X87,WL493,18,35792,18
H04,Sample X88,WL493,18,35895,18
H05,Sample X89,WL493,18,35390,18
H06,Sample X90,WL493,18,35723,18
H07,Sample X91,WL493,18,35587,18
H08,Sample X92,WL493,18,35959,18
H09,Sample X93,WL493,18,35400,18
H10,Sample X94,WL493,18,35526,18
H11,Sample X95,WL493,18,35784,18
H12,Sample X96,WL493,18,35141,18
A01,Sample X1,WL493,24,36546,24
A02,Sample X2,WL493,24,36207,24
A03,Sample X3,WL493,24,36506,24
A04,Sample X4,WL493,24,35383,24
A05,Sample X5,WL493,24,36414,24
A06,Sample X6,WL493,24,35548,24
A07,Sample X7,WL493,24,35733,24
A08,Sample X8,WL493,24,35869,24
A09,Sample X9,WL493,24,36383,24
A10,Sample X10,WL493,24,35687,24
A11,Sample X11,WL493,24,35517,24
A12,Sample X12,WL493,24,35689,24
B01,Sample X13,WL493,24,35798,24
B02,Sample X14,WL493,24,35579,24
B03,Sample X15,WL493,24,35385,24
B04,Sample X16,WL493,24,35755,24
B05,Sample X17,WL493,24,35956,24
B06,Sample X18,WL493,24,35781,24
B07,Sample X19,WL493,24,35339,24
B08,Sample X20,WL493,24,35673,24
B09,Sample X21,WL493,24,36129,24
B10,Sample X22,WL493,24,35780,24
B11,Sample X23,WL493,24,35085,24
B12,Sample X24,WL493,24,35409,24
C01,Sample X25,WL493,24,35743,24
C02,Sample X26,WL493,24,35798,24
C03,Sample X27,WL493,24,35920,24
C04,Sample X28,WL493,24,35559,24
C05,Sample X29,WL493,24,35187,24
C06,Sample X30,WL493,24,34874,24
C07,Sample X31,WL493,24,35189,24
C08,Sample X32,WL493,24,35428,24
C09,Sample X33,WL493,24,35506,24
C10,Sample X34,WL493,24,35268,24
C11,Sample X35,WL493,24,35325,24
C12,Sample X36,WL493,24,35943,24
D01,Sample X37,WL493,24,35605,24
D02,Sample X38,WL493,24,35822,24
D03,Sample X39,WL493,24,36066,24
D04,Sample X40,WL493,24,35071,24
D05,Sample X41,WL493,24,35227,24
D06,Sample X42,WL493,24,35111,24
D07,Sample X43,WL493,24,35021,24
D08,Sample X44,WL493,24,35234,24
D09,Sample X45,WL493,24,35537,24
D10,Sample X46,WL493,24,35539,24
D11,Sample X47,WL493,24,35429,24
D12,Sample X48,WL493,24,35855,24
E01,Sample X49,WL493,24,36358,24
E02,Sample X50,WL493,24,35500,24
E03,Sample X51,WL493,24,35171,24
E04,Sample X52,WL493,24,35021,24
E05,Sample X53,WL493,24,35101,24
E06,Sample X54,WL493,24,35228,24
E07,Sample X55,WL493,24,35701,24
E08,Sample X56,WL493,24,34988,24
E09,Sample X57,WL493,24,35111,24
E10,Sample X58,WL493,24,35371,24
E11,Sample X59,WL493,24,35186,24
E12,Sample X60,WL493,24,35390,24
F01,Sample X61,WL493,24,35305,24
F02,Sample X62,WL493,24,35533,24
F03,Sample X63,WL493,24,35447,24
F04,Sample X64,WL493,24,35312,24
F05,Sample X65,WL493,24,35242,24
F06,Sample X66,WL493,24,34907,24
F07,Sample X67,WL493,24,34976,24
F08,Sample X68,WL493,24,35038,24
F09,Sample X69,WL493,24,35469,24
F10,Sample X70,WL493,24,35054,24
F11,Sample X71,WL493,24,35579,24
F12,Sample X72,WL493,24,35660,24
G01,Sample X73,WL493,24,36261,24
G02,Sample X74,WL493,24,35473,24
G03,Sample X75,WL493,24,35308,24
G04,Sample X76,WL493,24,36028,24
G05,Sample X77,WL493,24,35070,24
G06,Sample X78,WL493,24,34942,24
G07,Sample X79,WL493,24,35623,24
G08,Sample X80,WL493,24,34907,24
G09,Sample X81,WL493,24,35480,24
G10,Sample X82,WL493,24,35481,24
G11,Sample X83,WL493,24,35432,24
G12,Sample X84,WL493,24,35127,24
H01,Sample X85,WL493,24,35411,24
H02,Sample X86,WL493,24,35781,24
H03,Sample X87,WL493,24,35248,24
H04,Sample X88,WL493,24,35511,24
H05,Sample X89,WL493,24,34856,24
H06,Sample X90,WL493,24,35181,24
H07,Sample X91,WL493,24,35452,24
H08,Sample X92,WL493,24,36038,24
H09,Sample X93,WL493,24,35189,24
H10,Sample X94,WL493,24,35143,24
H11,Sample X95,WL493,24,34775,24
H12,Sample X96,WL493,24,35708,24
A01,Sample X1,WL493,30,36812,30
A02,Sample X2,WL493,30,35673,30
