time,OD,well,OD_blank_normalised,experiment,plate
585,0.313,A05,FALSE,190831,2
600,0.318,A05,FALSE,190831,2
615,0.319,A05,FALSE,190831,2
630,0.32,A05,FALSE,190831,2
645,0.313,A05,FALSE,190831,2
660,0.315,A05,FALSE,190831,2
675,0.316,A05,FALSE,190831,2
690,0.312,A05,FALSE,190831,2
705,0.315,A05,FALSE,190831,2
720,0.311,A05,FALSE,190831,2
735,0.311,A05,FALSE,190831,2
750,0.31,A05,FALSE,190831,2
765,0.31,A05,FALSE,190831,2
780,0.311,A05,FALSE,190831,2
795,0.31,A05,FALSE,190831,2
810,0.311,A05,FALSE,190831,2
825,0.312,A05,FALSE,190831,2
840,0.311,A05,FALSE,190831,2
855,0.314,A05,FALSE,190831,2
870,0.311,A05,FALSE,190831,2
885,0.313,A05,FALSE,190831,2
900,0.309,A05,FALSE,190831,2
915,0.312,A05,FALSE,190831,2
930,0.311,A05,FALSE,190831,2
945,0.313,A05,FALSE,190831,2
960,0.315,A05,FALSE,190831,2
0,0.327,A06,FALSE,190831,2
15,0.322,A06,FALSE,190831,2
30,0.329,A06,FALSE,190831,2
45,0.326,A06,FALSE,190831,2
60,0.327,A06,FALSE,190831,2
75,0.327,A06,FALSE,190831,2
90,0.328,A06,FALSE,190831,2
105,0.336,A06,FALSE,190831,2
120,0.336,A06,FALSE,190831,2
135,0.339,A06,FALSE,190831,2
150,0.346,A06,FALSE,190831,2
165,0.351,A06,FALSE,190831,2
180,0.353,A06,FALSE,190831,2
195,0.376,A06,FALSE,190831,2
210,0.4,A06,FALSE,190831,2
225,0.45,A06,FALSE,190831,2
240,0.507,A06,FALSE,190831,2
255,0.597,A06,FALSE,190831,2
270,0.735,A06,FALSE,190831,2
285,0.932,A06,FALSE,190831,2
300,1.232,A06,FALSE,190831,2
315,1.603,A06,FALSE,190831,2
330,2.114,A06,FALSE,190831,2
345,2.447,A06,FALSE,190831,2
360,3.176,A06,FALSE,190831,2
375,3.584,A06,FALSE,190831,2
390,3.877,A06,FALSE,190831,2
405,3.942,A06,FALSE,190831,2
420,4.164,A06,FALSE,190831,2
435,4.271,A06,FALSE,190831,2
450,4.398,A06,FALSE,190831,2
465,4.592,A06,FALSE,190831,2
480,4.656,A06,FALSE,190831,2
495,4.827,A06,FALSE,190831,2
510,4.962,A06,FALSE,190831,2
525,5.118,A06,FALSE,190831,2
540,5.234,A06,FALSE,190831,2
555,5.32,A06,FALSE,190831,2
570,5.409,A06,FALSE,190831,2
585,5.506,A06,FALSE,190831,2
600,5.596,A06,FALSE,190831,2
615,5.604,A06,FALSE,190831,2
630,5.642,A06,FALSE,190831,2
645,5.685,A06,FALSE,190831,2
660,5.75,A06,FALSE,190831,2
675,5.759,A06,FALSE,190831,2
690,5.815,A06,FALSE,190831,2
705,5.83,A06,FALSE,190831,2
720,5.902,A06,FALSE,190831,2
735,5.893,A06,FALSE,190831,2
750,5.941,A06,FALSE,190831,2
765,5.954,A06,FALSE,190831,2
780,5.985,A06,FALSE,190831,2
795,5.985,A06,FALSE,190831,2
810,6.012,A06,FALSE,190831,2
825,6.076,A06,FALSE,190831,2
840,6.072,A06,FALSE,190831,2
855,6.074,A06,FALSE,190831,2
870,6.071,A06,FALSE,190831,2
885,6.123,A06,FALSE,190831,2
900,6.148,A06,FALSE,190831,2
915,6.15,A06,FALSE,190831,2
930,6.18,A06,FALSE,190831,2
945,6.126,A06,FALSE,190831,2
960,6.189,A06,FALSE,190831,2
0,0.318,A07,FALSE,190831,2
15,0.32,A07,FALSE,190831,2
30,0.324,A07,FALSE,190831,2
45,0.327,A07,FALSE,190831,2
60,0.329,A07,FALSE,190831,2
75,0.334,A07,FALSE,190831,2
90,0.337,A07,FALSE,190831,2
105,0.346,A07,FALSE,190831,2
120,0.357,A07,FALSE,190831,2
135,0.365,A07,FALSE,190831,2
150,0.387,A07,FALSE,190831,2
165,0.415,A07,FALSE,190831,2
180,0.467,A07,FALSE,190831,2
195,0.551,A07,FALSE,190831,2
210,0.669,A07,FALSE,190831,2
225,0.871,A07,FALSE,190831,2
240,1.079,A07,FALSE,190831,2
255,1.4,A07,FALSE,190831,2
270,1.788,A07,FALSE,190831,2
285,2.298,A07,FALSE,190831,2
300,2.903,A07,FALSE,190831,2
315,3.427,A07,FALSE,190831,2
330,3.817,A07,FALSE,190831,2
345,3.89,A07,FALSE,190831,2
360,4.384,A07,FALSE,190831,2
375,4.572,A07,FALSE,190831,2
390,4.734,A07,FALSE,190831,2
405,4.817,A07,FALSE,190831,2
420,5.022,A07,FALSE,190831,2
435,5.131,A07,FALSE,190831,2
450,5.304,A07,FALSE,190831,2
465,5.451,A07,FALSE,190831,2
480,5.535,A07,FALSE,190831,2
495,5.644,A07,FALSE,190831,2
510,5.74,A07,FALSE,190831,2
525,5.854,A07,FALSE,190831,2
540,5.913,A07,FALSE,190831,2
555,5.981,A07,FALSE,190831,2
570,6.022,A07,FALSE,190831,2
585,6.037,A07,FALSE,190831,2
600,6.083,A07,FALSE,190831,2
615,6.115,A07,FALSE,190831,2
630,6.112,A07,FALSE,190831,2
645,6.156,A07,FALSE,190831,2
660,6.17,A07,FALSE,190831,2
675,6.16,A07,FALSE,190831,2
690,6.182,A07,FALSE,190831,2
705,6.221,A07,FALSE,190831,2
720,6.229,A07,FALSE,190831,2
735,6.207,A07,FALSE,190831,2
750,6.236,A07,FALSE,190831,2
765,6.236,A07,FALSE,190831,2
780,6.233,A07,FALSE,190831,2
795,6.244,A07,FALSE,190831,2
810,6.255,A07,FALSE,190831,2
825,6.256,A07,FALSE,190831,2
840,6.25,A07,FALSE,190831,2
855,6.271,A07,FALSE,190831,2
870,6.25,A07,FALSE,190831,2
885,6.29,A07,FALSE,190831,2
900,6.304,A07,FALSE,190831,2
915,6.295,A07,FALSE,190831,2
930,6.311,A07,FALSE,190831,2
945,6.266,A07,FALSE,190831,2
960,6.333,A07,FALSE,190831,2
0,0.339,A08,FALSE,190831,2
15,0.33,A08,FALSE,190831,2
30,0.337,A08,FALSE,190831,2
45,0.335,A08,FALSE,190831,2
60,0.337,A08,FALSE,190831,2
75,0.334,A08,FALSE,190831,2
90,0.335,A08,FALSE,190831,2
105,0.337,A08,FALSE,190831,2
120,0.339,A08,FALSE,190831,2
135,0.342,A08,FALSE,190831,2
150,0.347,A08,FALSE,190831,2
165,0.353,A08,FALSE,190831,2
180,0.372,A08,FALSE,190831,2
195,0.416,A08,FALSE,190831,2
210,0.456,A08,FALSE,190831,2
225,0.557,A08,FALSE,190831,2
240,0.641,A08,FALSE,190831,2
255,0.832,A08,FALSE,190831,2
270,1.048,A08,FALSE,190831,2
285,1.44,A08,FALSE,190831,2
300,1.88,A08,FALSE,190831,2
315,2.386,A08,FALSE,190831,2
330,2.857,A08,FALSE,190831,2
345,3.097,A08,FALSE,190831,2
360,3.671,A08,FALSE,190831,2
375,3.889,A08,FALSE,190831,2
390,4.116,A08,FALSE,190831,2
405,4.209,A08,FALSE,190831,2
420,4.471,A08,FALSE,190831,2
435,4.67,A08,FALSE,190831,2
450,4.849,A08,FALSE,190831,2
465,4.935,A08,FALSE,190831,2
480,5.111,A08,FALSE,190831,2
495,5.181,A08,FALSE,190831,2
510,5.234,A08,FALSE,190831,2
525,5.316,A08,FALSE,190831,2
540,5.374,A08,FALSE,190831,2
555,5.418,A08,FALSE,190831,2
570,5.463,A08,FALSE,190831,2
585,5.555,A08,FALSE,190831,2
600,5.518,A08,FALSE,190831,2
615,5.524,A08,FALSE,190831,2
630,5.526,A08,FALSE,190831,2
645,5.539,A08,FALSE,190831,2
660,5.53,A08,FALSE,190831,2
675,5.498,A08,FALSE,190831,2
690,5.502,A08,FALSE,190831,2
705,5.495,A08,FALSE,190831,2
720,5.483,A08,FALSE,190831,2
735,5.461,A08,FALSE,190831,2
750,5.449,A08,FALSE,190831,2
765,5.436,A08,FALSE,190831,2
780,5.441,A08,FALSE,190831,2
795,5.432,A08,FALSE,190831,2
810,5.433,A08,FALSE,190831,2
825,5.464,A08,FALSE,190831,2
840,5.387,A08,FALSE,190831,2
855,5.387,A08,FALSE,190831,2
870,5.36,A08,FALSE,190831,2
885,5.388,A08,FALSE,190831,2
900,5.362,A08,FALSE,190831,2
915,5.349,A08,FALSE,190831,2
930,5.344,A08,FALSE,190831,2
945,5.276,A08,FALSE,190831,2
960,5.309,A08,FALSE,190831,2
0,0.334,A09,FALSE,190831,2
15,0.323,A09,FALSE,190831,2
30,0.327,A09,FALSE,190831,2
45,0.328,A09,FALSE,190831,2
60,0.327,A09,FALSE,190831,2
75,0.326,A09,FALSE,190831,2
90,0.326,A09,FALSE,190831,2
105,0.33,A09,FALSE,190831,2
120,0.326,A09,FALSE,190831,2
135,0.332,A09,FALSE,190831,2
150,0.336,A09,FALSE,190831,2
165,0.336,A09,FALSE,190831,2
180,0.344,A09,FALSE,190831,2
195,0.351,A09,FALSE,190831,2
210,0.364,A09,FALSE,190831,2
225,0.376,A09,FALSE,190831,2
