well,sample.x,wave_length,time,f_signal,timepoint,well_row,well_col,sample.y,f_signal_endpoint_493,f_signal_endpoint_535,total_cell_death,zero_cell_death,pct_death,sample_id,replicate,plate_number,exp
A01,Sample X1,WL535,1098,25420,1098,A,01,Sample X1,29977,26804,33260,21304,0.3442622950819672,BPH2750,2,2,exp190909
A01,Sample X1,WL535,612,24746,612,A,01,Sample X1,29977,26804,33260,21304,0.28788892606222816,BPH2750,2,2,exp190909
A01,Sample X1,WL535,354,24708,354,A,01,Sample X1,29977,26804,33260,21304,0.28471060555369687,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1212,25089,1212,A,01,Sample X1,29977,26804,33260,21304,0.3165774506523921,BPH2750,2,2,exp190909
A01,Sample X1,WL535,96,24125,96,A,01,Sample X1,29977,26804,33260,21304,0.23594847775175645,BPH2750,2,2,exp190909
A01,Sample X1,WL535,210,23984,210,A,01,Sample X1,29977,26804,33260,21304,0.22415523586483774,BPH2750,2,2,exp190909
A01,Sample X1,WL535,582,24587,582,A,01,Sample X1,29977,26804,33260,21304,0.27459016393442626,BPH2750,2,2,exp190909
A01,Sample X1,WL535,696,24685,696,A,01,Sample X1,29977,26804,33260,21304,0.2827868852459016,BPH2750,2,2,exp190909
A01,Sample X1,WL535,324,24387,324,A,01,Sample X1,29977,26804,33260,21304,0.2578621612579458,BPH2750,2,2,exp190909
A01,Sample X1,WL535,438,24433,438,A,01,Sample X1,29977,26804,33260,21304,0.2617096018735363,BPH2750,2,2,exp190909
A01,Sample X1,WL535,810,24989,810,A,01,Sample X1,29977,26804,33260,21304,0.3082134493141519,BPH2750,2,2,exp190909
A01,Sample X1,WL535,552,24362,552,A,01,Sample X1,29977,26804,33260,21304,0.25577116092338575,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1038,25068,1038,A,01,Sample X1,29977,26804,33260,21304,0.3148210103713617,BPH2750,2,2,exp190909
A01,Sample X1,WL535,666,24450,666,A,01,Sample X1,29977,26804,33260,21304,0.26313148210103715,BPH2750,2,2,exp190909
A01,Sample X1,WL535,294,24402,294,A,01,Sample X1,29977,26804,33260,21304,0.25911676145868184,BPH2750,2,2,exp190909
A01,Sample X1,WL535,780,25070,780,A,01,Sample X1,29977,26804,33260,21304,0.3149882903981265,BPH2750,2,2,exp190909
A01,Sample X1,WL535,894,25095,894,A,01,Sample X1,29977,26804,33260,21304,0.31707929073268654,BPH2750,2,2,exp190909
A01,Sample X1,WL535,408,24534,408,A,01,Sample X1,29977,26804,33260,21304,0.27015724322515894,BPH2750,2,2,exp190909
A01,Sample X1,WL535,150,24581,150,A,01,Sample X1,29977,26804,33260,21304,0.27408832385413184,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1008,25445,1008,A,01,Sample X1,29977,26804,33260,21304,0.34635329541652726,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1122,25422,1122,A,01,Sample X1,29977,26804,33260,21304,0.344429575108732,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1236,25258,1236,A,01,Sample X1,29977,26804,33260,21304,0.33071261291401804,BPH2750,2,2,exp190909
A01,Sample X1,WL535,492,24139,492,A,01,Sample X1,29977,26804,33260,21304,0.23711943793911008,BPH2750,2,2,exp190909
