"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2737","exp190831_2_C02",287,0.000190964948817589,3750.94285858439,12.4603606007163,1116,0.113956840794563,139,0.0117119688396855,0.113094740042698,1152,"exp190831","C02","C",2.66666666666667,40000,"2",2,"VAN-029",0.0542052857066548,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2738","exp190831_2_B08",472,0.000136639984326336,6585.4389778342,2.68132362127177,576,0.0644601386406855,186,-0.0238187264349756,0.0555894653104097,1152,"exp190831","B08","B",6.66666666666667,40000,"2",2,"VAN-029",0.0278437212105534,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,1,TRUE,0.5,"Relapse (after treatment)",18,"paired-invasive","stp"
"BPH2739","exp190831_2_A04",310,0.000537652013197677,1407.80938912646,18.3430481639485,1039,0.186055338616929,132,-0.0444864321411934,0.176413733279713,1152,"exp190831","A04","A",7.66666666666667,40000,"2",2,"VAN-030",0.0292867128774612,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Survived",1,FALSE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2740","exp190831_2_A02",341,0.00163049083431932,447.885526497119,81.8595633099604,1152,0.839817178923086,130,-0.0174438144810876,0.839817178923086,1152,"exp190831","A02","A",6,40000,"2",2,"VAN-030",0.0470879811669995,FALSE,FALSE,FALSE,0,0,0,FALSE,"12",0,NA,0,FALSE,1,NA,FALSE,0.75,"Relapse (after treatment)",558,"paired-invasive",NA
"BPH2741","exp190831_2_B11",482,0.00154590827356716,547.731023812923,103.61948463194,1152,1.13058799700722,98,-0.0131288920527308,1.13058799700722,1152,"exp190831","B11","B",5.66666666666667,40000,"2",2,"VAN-031",0.0369891394916368,FALSE,FALSE,FALSE,0,0,0,FALSE,"109",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2742","exp190831_2_A06",394,0.000489526654209453,1926.96559368579,17.8256541189273,1092,0.180654082268142,150,-0.0273118813742821,0.1775352563927,1152,"exp190831","A06","A",7,40000,"2",2,"VAN-032",0.0343737724348343,FALSE,FALSE,FALSE,0,0,0,FALSE,"22",1,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2743","exp190831_2_F03",427,0.00246543416719837,379.120813024298,127.040653889792,1152,1.14397013536781,77,-0.0308409621025977,1.14397013536781,1152,"exp190831","F03","F",5.33333333333333,40000,"2",2,"VAN-033",0.0355367515906344,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2744","exp190831_2_F10",432,0.00278695692125835,283.339466146126,106.321544458948,816,0.974478519255041,130.8,-0.032284869217737,0.796002173010984,1152,"exp190831","F10","F",9.6,40000,"2",1.8,"VAN-034",0.0326710580673251,FALSE,FALSE,FALSE,0,0,0.00414507772020725,FALSE,"-",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2745","exp190831_2_A12",283,0.000879228997145222,853.412831999374,58.6106128385491,1152,0.597045771248781,98,0.00105551301210763,0.597045771248781,1152,"exp190831","A12","A",10.3333333333333,40000,"2",2,"VAN-035",0.0745585197413818,FALSE,FALSE,FALSE,0,0,0,FALSE,"72",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2746","exp190831_2_C08",418.8,0.00217947019850606,340.05802570145,100.398037788449,1002,0.95515963970619,94.8,-0.0440195695128602,0.935821114411004,1152,"exp190831","C08","C",9.2,40000,"2",1.8,"VAN-037",0.0456115407131789,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
