"well_id","time_of_max_rate_OD","max_rate_OD","doubling_time_OD","AUC_OD","time_of_max_OD","max_OD","time_of_min_OD","min_OD","end_point_OD","end_point_timepoint_OD","sample_id","well_row","well_col","well","experiment","plate","replicate","strain_group.x","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","strain_group.y","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"exp200313_M2_F10",270,0.0297763655755611,23.2784346632567,132.934333333333,840,6.21271985795207,0,0.0123059523499991,6.04708180829186,930,"BPH3627","F",10,"F10","exp200313","M2",2,"VSS-446",0.148091188124075,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-446","5",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-446","5",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F11",300,0.0233359784728046,29.702940520267,114.865333333333,720,5.98176153033754,30,0.0082428817622522,5.90416942329873,930,"TOX-4","F",11,"F11","exp200313","M2",3,"CONTROL",0.10771226113661,FALSE,FALSE,FALSE,0,0,0,FALSE,"CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_F12",240,0.0169535048726056,40.8851848492975,74.4683333333334,930,3.78912309923204,30,0.0170065123388359,3.78912309923204,930,"BPH3725","F",12,"F12","exp200313","M2",2,"VSS-560",0.115742530356535,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-560","97",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-560","97",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_G01",270,0.0426943542042699,16.2351016540408,129.002333333333,780,6.13416148521389,150,-0.00941311142184707,6.02801329625346,930,"BPH3572","G",1,"G01","exp200313","M2",2,"VSS-379",0.0565803263805833,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-379","78",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-379","78",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_G02",390,0.0248867224860645,27.8520878331037,97.0587333333334,930,6.15726701074283,60,-4.80562188859493e-05,6.15726701074283,930,"BPH3712","G",2,"G02","exp200313","M2",2,"VSS-547",0.206136686044317,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-547","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-547","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_G03",360,0.0259252581686559,26.7363655956943,111.067333333333,930,6.44313743490077,30,-0.00481070810434204,6.44313743490077,930,"BPH3483","G",3,"G03","exp200313","M2",3,"VSS-287",0.304015350489631,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-287","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-287","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_G04",420,0.0230992836332289,30.0073020257145,90.6143333333333,840,5.81693355402498,60,0.00175072467052406,5.78827601720268,930,"BPH3541","G",4,"G04","exp200313","M2",2,"VSS-345",0.240471065480513,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-345","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-345","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_G05",240,0.0270688112230238,25.6068570891055,128.877333333333,720,6.01163267865043,30,0.00485132746767935,5.98852156450305,930,"BPH3723","G",5,"G05","exp200313","M2",3,"VSS-558",0.0258907963055086,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-558","1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-558","1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1160",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_G06",330,0.0281871941378984,24.5908541718947,110.374333333333,930,5.97381272009925,30,0.00808299511653902,5.97381272009925,930,"BPH3617","G",6,"G06","exp200313","M2",1,"VSS-436",0.486430193690043,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-436","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-436","45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exp200313_M2_G07",360,0.0234895909387873,29.5086952500046,105.463333333333,930,6.0108249938975,30,0.0192982368160153,6.0108249938975,930,"BPH3549","G",7,"G07","exp200313","M2",1,"VSS-353",0.0787675906279568,FALSE,FALSE,FALSE,0,0,0,FALSE,"VSS-353","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VSS-353","239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"239",1,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
