well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
D10,14222,18,D,10,exp200219,40000,P1,exp200219_P1_D10,BPH2981,2,VAN-216
D11,14552,18,D,11,exp200219,40000,P1,exp200219_P1_D11,BPH2976,2,VAN-216
E02,14357,18,E,02,exp200219,40000,P1,exp200219_P1_E02,BPH2976,3,VAN-216
E03,14317,18,E,03,exp200219,40000,P1,exp200219_P1_E03,BPH2978,3,VAN-216
E04,14623,18,E,04,exp200219,40000,P1,exp200219_P1_E04,BPH2977,2,VAN-216
E05,14072,18,E,05,exp200219,40000,P1,exp200219_P1_E05,BPH2978,2,VAN-216
E06,13962,18,E,06,exp200219,40000,P1,exp200219_P1_E06,BPH2727,3,VAN-023
E07,13064,18,E,07,exp200219,40000,P1,exp200219_P1_E07,BPH2764,3,VAN-050
E08,14127,18,E,08,exp200219,40000,P1,exp200219_P1_E08,BPH2726,2,VAN-023
E09,12648,18,E,09,exp200219,40000,P1,exp200219_P1_E09,Non infected,1,CONTROL
E10,13853,18,E,10,exp200219,40000,P1,exp200219_P1_E10,BPH2763,1,VAN-050
E11,14307,18,E,11,exp200219,40000,P1,exp200219_P1_E11,JE2,3,CONTROL
F02,15616,18,F,02,exp200219,40000,P1,exp200219_P1_F02,BPH2976,1,VAN-216
F03,13646,18,F,03,exp200219,40000,P1,exp200219_P1_F03,BPH2730,1,VAN-024
F04,13439,18,F,04,exp200219,40000,P1,exp200219_P1_F04,BPH2980,1,VAN-216
F05,13600,18,F,05,exp200219,40000,P1,exp200219_P1_F05,JE2,2,CONTROL
F06,14862,18,F,06,exp200219,40000,P1,exp200219_P1_F06,BPH2704,2,VAN-004
F07,14014,18,F,07,exp200219,40000,P1,exp200219_P1_F07,BPH2728,1,VAN-024
F08,13284,18,F,08,exp200219,40000,P1,exp200219_P1_F08,BPH2729,1,VAN-024
F09,14017,18,F,09,exp200219,40000,P1,exp200219_P1_F09,BPH2727,2,VAN-023
F10,13961,18,F,10,exp200219,40000,P1,exp200219_P1_F10,Non infected,3,CONTROL
F11,15131,18,F,11,exp200219,40000,P1,exp200219_P1_F11,BPH2977,1,VAN-216
G02,17952,18,G,02,exp200219,40000,P1,exp200219_P1_G02,BPH2764,2,VAN-050
G03,13627,18,G,03,exp200219,40000,P1,exp200219_P1_G03,BPH2729,2,VAN-024
G04,13543,18,G,04,exp200219,40000,P1,exp200219_P1_G04,TOX-4,2,CONTROL
G05,13651,18,G,05,exp200219,40000,P1,exp200219_P1_G05,BPH2763,3,VAN-050
G06,14057,18,G,06,exp200219,40000,P1,exp200219_P1_G06,JE2,1,CONTROL
G07,14035,18,G,07,exp200219,40000,P1,exp200219_P1_G07,BPH2981,3,VAN-216
G08,13527,18,G,08,exp200219,40000,P1,exp200219_P1_G08,BPH2705,2,VAN-004
G09,39746,18,G,09,exp200219,40000,P1,exp200219_P1_G09,Complete lysis,1,CONTROL
G10,37814,18,G,10,exp200219,40000,P1,exp200219_P1_G10,Complete lysis,2,CONTROL
G11,39679,18,G,11,exp200219,40000,P1,exp200219_P1_G11,Complete lysis,3,CONTROL
B02,14443,24,B,02,exp200219,40000,P1,exp200219_P1_B02,TOX-4,3,CONTROL
B03,13184,24,B,03,exp200219,40000,P1,exp200219_P1_B03,BPH2705,1,VAN-004
B04,13223,24,B,04,exp200219,40000,P1,exp200219_P1_B04,BPH2979,3,VAN-216
B05,13409,24,B,05,exp200219,40000,P1,exp200219_P1_B05,BPH2704,1,VAN-004
B06,14723,24,B,06,exp200219,40000,P1,exp200219_P1_B06,BPH2978,1,VAN-216
B07,13671,24,B,07,exp200219,40000,P1,exp200219_P1_B07,BPH2763,2,VAN-050
B08,13793,24,B,08,exp200219,40000,P1,exp200219_P1_B08,BPH2981,1,VAN-216
B09,13397,24,B,09,exp200219,40000,P1,exp200219_P1_B09,BPH2728,2,VAN-024
B10,13523,24,B,10,exp200219,40000,P1,exp200219_P1_B10,BPH2729,3,VAN-024
B11,14511,24,B,11,exp200219,40000,P1,exp200219_P1_B11,BPH2977,3,VAN-216
C02,14399,24,C,02,exp200219,40000,P1,exp200219_P1_C02,BPH2730,3,VAN-024
C03,14139,24,C,03,exp200219,40000,P1,exp200219_P1_C03,BPH2982,2,VAN-216
C04,14480,24,C,04,exp200219,40000,P1,exp200219_P1_C04,BPH2980,3,VAN-216
C05,13941,24,C,05,exp200219,40000,P1,exp200219_P1_C05,BPH2727,1,VAN-023
C06,13196,24,C,06,exp200219,40000,P1,exp200219_P1_C06,BPH2726,1,VAN-023
C07,14036,24,C,07,exp200219,40000,P1,exp200219_P1_C07,BPH2726,3,VAN-023
C08,13419,24,C,08,exp200219,40000,P1,exp200219_P1_C08,BPH2728,3,VAN-024
C09,14016,24,C,09,exp200219,40000,P1,exp200219_P1_C09,BPH2982,1,VAN-216
C10,14244,24,C,10,exp200219,40000,P1,exp200219_P1_C10,BPH2979,1,VAN-216
C11,14774,24,C,11,exp200219,40000,P1,exp200219_P1_C11,BPH2764,1,VAN-050
D02,13884,24,D,02,exp200219,40000,P1,exp200219_P1_D02,TOX-4,1,CONTROL
D03,13883,24,D,03,exp200219,40000,P1,exp200219_P1_D03,Non infected,2,CONTROL
D04,13420,24,D,04,exp200219,40000,P1,exp200219_P1_D04,BPH2979,2,VAN-216
D05,13248,24,D,05,exp200219,40000,P1,exp200219_P1_D05,BPH2980,2,VAN-216
D06,13554,24,D,06,exp200219,40000,P1,exp200219_P1_D06,BPH2982,3,VAN-216
D07,13571,24,D,07,exp200219,40000,P1,exp200219_P1_D07,BPH2730,2,VAN-024
D08,13747,24,D,08,exp200219,40000,P1,exp200219_P1_D08,BPH2704,3,VAN-004
D09,13688,24,D,09,exp200219,40000,P1,exp200219_P1_D09,BPH2705,3,VAN-004
D10,13869,24,D,10,exp200219,40000,P1,exp200219_P1_D10,BPH2981,2,VAN-216
D11,14444,24,D,11,exp200219,40000,P1,exp200219_P1_D11,BPH2976,2,VAN-216
E02,14151,24,E,02,exp200219,40000,P1,exp200219_P1_E02,BPH2976,3,VAN-216
E03,14088,24,E,03,exp200219,40000,P1,exp200219_P1_E03,BPH2978,3,VAN-216
E04,14539,24,E,04,exp200219,40000,P1,exp200219_P1_E04,BPH2977,2,VAN-216
E05,13788,24,E,05,exp200219,40000,P1,exp200219_P1_E05,BPH2978,2,VAN-216
E06,13927,24,E,06,exp200219,40000,P1,exp200219_P1_E06,BPH2727,3,VAN-023
E07,12978,24,E,07,exp200219,40000,P1,exp200219_P1_E07,BPH2764,3,VAN-050
E08,14068,24,E,08,exp200219,40000,P1,exp200219_P1_E08,BPH2726,2,VAN-023
E09,12446,24,E,09,exp200219,40000,P1,exp200219_P1_E09,Non infected,1,CONTROL
E10,13788,24,E,10,exp200219,40000,P1,exp200219_P1_E10,BPH2763,1,VAN-050
E11,14021,24,E,11,exp200219,40000,P1,exp200219_P1_E11,JE2,3,CONTROL
F02,15278,24,F,02,exp200219,40000,P1,exp200219_P1_F02,BPH2976,1,VAN-216
F03,13603,24,F,03,exp200219,40000,P1,exp200219_P1_F03,BPH2730,1,VAN-024
