"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2758","exp191109_3_B02",44.6523015047193,1152,0.661709242273594,171,-0.0367504776859716,810,0.000994029700131054,698.7052271881,0.661709242273594,1152,"exp191109","B02","B",3,40000,"3",2,"VAN-046",0.094158196941325,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2759","exp191109_3_E08",138.082492483855,1026,1.36337420446262,126,-0.0707878153789195,498,0.00320313721260257,216.491660381799,1.34423419813304,1152,"exp191109","E08","E",8,40000,"3",1.5,"VAN-047",0.0365277050312893,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2760","exp191109_3_A07",93.229370634001,1035,0.689452400343891,60,-0.0166253157641764,279,0.00221463833260445,314.494806386275,0.685828888012354,1152,"exp191109","A07","A",7,40000,"3",2,"VAN-048",0.0425128917646069,FALSE,FALSE,FALSE,0,0,0,FALSE,"1",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2761","exp191109_3_D09",42.2746957925922,1152,0.477171207415719,141,-0.0452792450938238,381,0.000870040061121648,796.889763167782,0.477171207415719,1152,"exp191109","D09","D",9,40000,"3",2,"VAN-049",0.0426141562376394,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2762","exp191109_3_A11",97.8061867271572,1152,1.14694613011258,108,0.010140420243463,426,0.00152379510396979,454.918679956953,1.14694613011258,1152,"exp191109","A11","A",8.5,40000,"3",2.5,"VAN-049",0.316891465807344,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2763","exp191109_3_D04",9.11424292864963,948,0.125274467599902,144,-0.0646776907851711,342,0.00057085040465692,1214.23612019076,0.0929553205374291,1152,"exp191109","D04","D",5,40000,"3",2,"VAN-050",0.0362722815496705,FALSE,FALSE,FALSE,0,0,0,FALSE,"78",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2764","exp191109_3_G10",160.031662314698,855,1.35898572499048,69,-0.0180950951606564,366,0.00375656084402264,186.264856817981,1.23816833692142,1152,"exp191109","G10","G",8.5,40000,"3",2,"VAN-050",0.136870391809909,FALSE,FALSE,FALSE,0,0.0129533678756477,0,FALSE,"78",1,NA,0,TRUE,0,29,FALSE,0,NA,-3,"paired-colonising","hypothetical protein / superantigen-like protein / accB_1 / grsB / Transcriptional regulator / cydD / pepT_2 / yveA / pbuE / Putative esterase / Replication initiation and membrane attachment"
"BPH2765","exp191109_3_C02",39.2933798185358,1152,0.500527662153946,183,-0.0189243089404247,612,0.00086461876490204,803.314091477007,0.500527662153946,1152,"exp191109","C02","C",2,40000,"3",2,"VAN-051",0.0650194952930174,FALSE,FALSE,FALSE,0,0,0,FALSE,"15",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2766","exp191109_3_B08",48.3677575984928,1152,0.697802067437358,186,-0.0767413844681026,636,0.00124411537202874,557.140596558702,0.697802067437358,1152,"exp191109","B08","B",7,40000,"3",2,"VAN-052",0.0429626140827129,FALSE,FALSE,FALSE,0,0,0,FALSE,"45",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2767","exp191109_3_A04",111.544296818098,1050,0.991338224990114,99,-0.0550129852156111,291,0.00243284399691728,287.025380722848,0.970921206093903,1152,"exp191109","A04","A",9,40000,"3",2,"VAN-053",0.0183199929833229,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,"Died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
