"sample_id","well_id","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","time_of_max_rate_death","max_rate_death","doubling_time_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST.x","mecA.x","mortality.x","intrahost_index.x","included.x","unrelated_to_index.x","mut_count.x","scv.x","vanco_difference.x","persister_type.x","intrahost_sampledelay.x","sample_type.x","genes.x","strain_group","ST.y","mecA.y","mortality.y","intrahost_index.y","included.y","unrelated_to_index.y","mut_count.y","scv.y","vanco_difference.y","persister_type.y","intrahost_sampledelay.y","sample_type.y","genes.y"
"BPH2705","exp191115_1_E09",126.578028113597,882,1.1278636512545,150,-0.0558893169611839,408,0.00317545093037818,218.283070895192,1.07216182106881,1152,"exp191115","E09","E",9,40000,"1",2,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2705","exp191115_1_F09",98.5265374139552,984,0.947579380221221,168,-0.0781646233502073,438,0.002591431924158,267.476515241727,0.934200618203699,1152,"exp191115","F09","F",9,40000,"1",1,"VAN-004",0.0632171453236028,FALSE,FALSE,FALSE,0,0,0,FALSE,"93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA,"VAN-004","93",1,NA,0,TRUE,0,0,FALSE,0,"Persistent",10,"paired-invasive",NA
"BPH2706","exp191115_1_H06",103.747006461845,1152,1.21413739765101,192,0.0157372885661726,558,0.00204533207606319,338.892245749208,1.21413739765101,1152,"exp191115","H06","H",6,40000,"1",1,"VAN-005",0.0846276462867674,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2706","exp191115_1_C01",83.3143737616417,1152,0.924773961399015,198,0.0257110236814119,516,0.00156697702969146,442.346739885795,0.924773961399015,1152,"exp191115","C01","C",1,40000,"1",2,"VAN-005",0.0846276462867674,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2706","exp191115_1_A11",92.34079211978,1152,0.993373347666094,198,0.0526906549227523,534,0.00169678237926989,408.506823873431,0.993373347666094,1152,"exp191115","A11","A",11,40000,"1",3,"VAN-005",0.0846276462867674,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2706","exp191116_1_A11",104.284737695225,1152,1.06912202016226,204,0.188099798021559,600,0.00155576649993772,445.53419847239,1.06912202016226,1152,"exp191116","A11","A",11,40000,"1",3,"VAN-005",0.0846276462867674,FALSE,FALSE,FALSE,0,0,0,FALSE,"508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-005","508",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191115_1_D04",107.209868777422,882,1.05143374417162,180,-0.0483260980808484,498,0.0029837759247817,232.305373470918,0.937904664130846,1152,"exp191115","D04","D",4,40000,"1",3,"VAN-006",0.0122365491191938,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191116_1_D10",84.866540146455,936,0.86042467679665,192,-0.0197317672393641,552,0.00231217190556862,299.781853974859,0.798843045206363,1152,"exp191116","D10","D",10,40000,"1",1,"VAN-006",0.0122365491191938,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191116_1_D04",108.006404152239,870,1.04062382276141,168,-0.0246377962509518,522,0.00282423596470665,245.42821110627,0.916536519792333,1152,"exp191116","D04","D",4,40000,"1",3,"VAN-006",0.0122365491191938,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2707","exp191115_1_E04",66.5946216622622,960,0.703073339407724,210,-0.038349554762337,552,0.00188870839144855,366.995341206874,0.678478090158262,1152,"exp191115","E04","E",4,40000,"1",2,"VAN-006",0.0122365491191938,FALSE,FALSE,FALSE,0,0,0,FALSE,"8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAN-006","8",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
