well_id,AUC,time_of_max_death,max_death,time_of_min_death,min_death,time_of_max_death_rate,max_death_rate,time_of_min_death_rate,min_death_rate,experiment,well,well_row,well_col,cell_number,plate,sample_id,replicate,strain_group,ST,mecA,mortality,intrahost_index,included,unrelated_to_index,mut_count,scv,vanco_difference,persister_type,intrahost_sampledelay,sample_type,genes
exp191120_4_H06,99.6082481208256,1152,0.8963547872856447,144,0.11766346963610384,372,0.001621808704693188,0,-0.0011067056948684678,exp191120,H06,H,06,40000,4,BPH2791,1,VAN-075,6,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H07,46.6837543170657,1152,0.5066202015336464,198,0.07837573393170168,1152,6.277896101285485e-4,0,-0.0012489943532158626,exp191120,H07,H,07,40000,4,BPH2786,2,VAN-070,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H08,108.3348005688529,1152,0.921703885173378,138,0.12308543545413728,384,0.001603235960845208,0,-0.001259394448872679,exp191120,H08,H,08,40000,4,BPH2802,2,VAN-083,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H09,89.89760953478775,1152,0.8350186822452587,162,0.13834546405606163,390,0.0012896271468606148,0,-0.0012287342791946557,exp191120,H09,H,09,40000,4,BPH2786,1,VAN-070,5,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H10,157.091149184021,102,0.9931662025211122,630,0.7421675687203728,0,0.002009509206992083,198,-0.0011051473695666975,exp191120,H10,H,10,40000,4,Complete lysis,1,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H11,167.12267217447493,60,1.0859478445596145,636,0.7845647608487589,0,8.542311880146425e-4,150,-0.0015171164365421204,exp191120,H11,H,11,40000,4,Complete lysis,2,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191120_4_H12,171.96559897071054,6,1.0512662033234248,636,0.8274317693821057,936,3.636631972474003e-4,138,-0.0010058049426948936,exp191120,H12,H,12,40000,4,Complete lysis,3,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_A02,152.82475685236489,1152,1.573175617005489,144,0.11199473656181627,522,0.002448437380522922,0,-0.001526955831806391,exp191121,A02,A,02,40000,4,BPH2797,3,VAN-081,12,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_A03,51.52572944297894,1152,0.5266497956372678,210,0.09971089723899172,696,6.765757156966929e-4,0,-0.0016261712832403921,exp191121,A03,A,03,40000,4,BPH2785,1,VAN-069,-,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_A05,35.810786914241916,0,0.285284791167396,192,0.12324371977407181,522,1.9396173907210764e-4,0,-0.0017878914959537917,exp191121,A05,A,05,40000,4,TOX-4,3,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_A06,243.4878868258511,1152,2.643635427605032,132,0.08108401397048824,522,0.0041627312525736315,0,-0.0016491891731720554,exp191121,A06,A,06,40000,4,BPH2799,1,VAN-082,239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
