well,f_signal,timepoint,well_row,well_col,experiment,cell_type,cell_number,plate,well_id,sample_id,strain_group
C02,12969,5,C,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_C02,NE1462,NEBRASKA
C03,13181,5,C,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_C03,NE46,NEBRASKA
C04,13873,5,C,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_C04,NE573,NEBRASKA
C05,12988,5,C,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_C05,NE1671,NEBRASKA
C06,13000,5,C,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_C06,NE440,NEBRASKA
C07,13000,5,C,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_C07,NE1380,NEBRASKA
C08,14356,5,C,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_C08,NE214,NEBRASKA
C09,13008,5,C,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_C09,NE214,NEBRASKA
C10,12455,5,C,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_C10,NE1,NEBRASKA
C11,13957,5,C,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_C11,NE362,NEBRASKA
C12,11892,5,C,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_C12,Non infected,CONTROL
D01,13614,5,D,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_D01,NE704,NEBRASKA
D02,13675,5,D,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_D02,NE472,NEBRASKA
D03,13013,5,D,03,exp210330,THP1,100000,GPV1,exp210330_GPV1_D03,NE362,NEBRASKA
D04,13118,5,D,04,exp210330,THP1,100000,GPV1,exp210330_GPV1_D04,NE119,NEBRASKA
D05,13172,5,D,05,exp210330,THP1,100000,GPV1,exp210330_GPV1_D05,NE1532,NEBRASKA
D06,12803,5,D,06,exp210330,THP1,100000,GPV1,exp210330_GPV1_D06,NE873,NEBRASKA
D07,13656,5,D,07,exp210330,THP1,100000,GPV1,exp210330_GPV1_D07,JE2,CONTROL
D08,13326,5,D,08,exp210330,THP1,100000,GPV1,exp210330_GPV1_D08,NE172,NEBRASKA
D09,13325,5,D,09,exp210330,THP1,100000,GPV1,exp210330_GPV1_D09,NE117,NEBRASKA
D10,12641,5,D,10,exp210330,THP1,100000,GPV1,exp210330_GPV1_D10,NE119,NEBRASKA
D11,13768,5,D,11,exp210330,THP1,100000,GPV1,exp210330_GPV1_D11,NE1919,NEBRASKA
D12,13539,5,D,12,exp210330,THP1,100000,GPV1,exp210330_GPV1_D12,NE472,NEBRASKA
E01,12072,5,E,01,exp210330,THP1,100000,GPV1,exp210330_GPV1_E01,Non infected,CONTROL
E02,12889,5,E,02,exp210330,THP1,100000,GPV1,exp210330_GPV1_E02,NE440,NEBRASKA
