well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id,sample_id,replicate,strain_group
A05,15189,12,A,05,exp191129,40000,5,exp191129_5_A05,TOX-4,3,CONTROL
A06,15563,12,A,06,exp191129,40000,5,exp191129_5_A06,BPH2827,1,VAN-100
A07,15607,12,A,07,exp191129,40000,5,exp191129_5_A07,BPH2816,2,VAN-091
A08,15399,12,A,08,exp191129,40000,5,exp191129_5_A08,Non infected,1,CONTROL
A09,15288,12,A,09,exp191129,40000,5,exp191129_5_A09,BPH2832,2,VAN-104
A10,15667,12,A,10,exp191129,40000,5,exp191129_5_A10,BPH2829,3,VAN-102
A11,15322,12,A,11,exp191129,40000,5,exp191129_5_A11,BPH2818,3,VAN-093
A12,16152,12,A,12,exp191129,40000,5,exp191129_5_A12,BPH2830,3,VAN-103
B01,15207,12,B,01,exp191129,40000,5,exp191129_5_B01,BPH2837,2,VAN-108
B02,15007,12,B,02,exp191129,40000,5,exp191129_5_B02,BPH2814,1,VAN-090
B03,16080,12,B,03,exp191129,40000,5,exp191129_5_B03,BPH2837,1,VAN-108
B04,14989,12,B,04,exp191129,40000,5,exp191129_5_B04,BPH2824,1,VAN-098
B05,16110,12,B,05,exp191129,40000,5,exp191129_5_B05,BPH2838,3,VAN-109
B06,15688,12,B,06,exp191129,40000,5,exp191129_5_B06,JE2,3,CONTROL
B07,16077,12,B,07,exp191129,40000,5,exp191129_5_B07,BPH2827,2,VAN-100
B08,15814,12,B,08,exp191129,40000,5,exp191129_5_B08,BPH2822,3,VAN-096
B09,15816,12,B,09,exp191129,40000,5,exp191129_5_B09,BPH2823,2,VAN-097
B10,15555,12,B,10,exp191129,40000,5,exp191129_5_B10,BPH2836,1,VAN-107
B11,15358,12,B,11,exp191129,40000,5,exp191129_5_B11,BPH2825,3,VAN-098
B12,15708,12,B,12,exp191129,40000,5,exp191129_5_B12,BPH2824,2,VAN-098
C01,15254,12,C,01,exp191129,40000,5,exp191129_5_C01,BPH2818,2,VAN-093
C02,16384,12,C,02,exp191129,40000,5,exp191129_5_C02,BPH2821,1,VAN-095
C03,16036,12,C,03,exp191129,40000,5,exp191129_5_C03,BPH2835,3,VAN-106
C04,15082,12,C,04,exp191129,40000,5,exp191129_5_C04,BPH2837,3,VAN-108
C05,15498,12,C,05,exp191129,40000,5,exp191129_5_C05,BPH2825,1,VAN-098
C06,15713,12,C,06,exp191129,40000,5,exp191129_5_C06,BPH2834,3,VAN-105
C07,15537,12,C,07,exp191129,40000,5,exp191129_5_C07,BPH2820,1,VAN-094
C08,16085,12,C,08,exp191129,40000,5,exp191129_5_C08,BPH2831,1,VAN-104
C09,15409,12,C,09,exp191129,40000,5,exp191129_5_C09,BPH2831,2,VAN-104
C10,15360,12,C,10,exp191129,40000,5,exp191129_5_C10,BPH2813,3,VAN-090
C11,14943,12,C,11,exp191129,40000,5,exp191129_5_C11,BPH2832,1,VAN-104
C12,15484,12,C,12,exp191129,40000,5,exp191129_5_C12,Blank,2,NA
D01,15450,12,D,01,exp191129,40000,5,exp191129_5_D01,Non infected,3,CONTROL
D02,15688,12,D,02,exp191129,40000,5,exp191129_5_D02,BPH2836,2,VAN-107
D03,15858,12,D,03,exp191129,40000,5,exp191129_5_D03,BPH2832,3,VAN-104
D04,15798,12,D,04,exp191129,40000,5,exp191129_5_D04,BPH2819,3,VAN-094
D05,15986,12,D,05,exp191129,40000,5,exp191129_5_D05,BPH2822,2,VAN-096
D06,16014,12,D,06,exp191129,40000,5,exp191129_5_D06,JE2,2,CONTROL
D07,15562,12,D,07,exp191129,40000,5,exp191129_5_D07,BPH2812,2,VAN-090
D08,15481,12,D,08,exp191129,40000,5,exp191129_5_D08,BPH2827,3,VAN-100
D09,15589,12,D,09,exp191129,40000,5,exp191129_5_D09,BPH2817,3,VAN-092
D10,15670,12,D,10,exp191129,40000,5,exp191129_5_D10,BPH2819,1,VAN-094
D11,15554,12,D,11,exp191129,40000,5,exp191129_5_D11,BPH2830,1,VAN-103
D12,15883,12,D,12,exp191129,40000,5,exp191129_5_D12,BPH2836,3,VAN-107
E01,15586,12,E,01,exp191129,40000,5,exp191129_5_E01,Blank,1,NA
E02,16025,12,E,02,exp191129,40000,5,exp191129_5_E02,BPH2834,2,VAN-105
E03,15705,12,E,03,exp191129,40000,5,exp191129_5_E03,BPH2833,2,VAN-104
E04,15502,12,E,04,exp191129,40000,5,exp191129_5_E04,BPH2819,2,VAN-094
E05,15986,12,E,05,exp191129,40000,5,exp191129_5_E05,JE2,1,CONTROL
